"SEVENOAKS SEAL ST LAWRENCE RESERVOIR",,,,,,,,,,,,
Grid ref,TQ573551,Long,0.253663,Lat,51.273341,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.16,1.71,0.90,,
February,,,,,,,,1.60,1.48,0.72,,
March,,,,,,,,1.04,2.60,4.03,,
April,,,,,,,,3.00,3.02,1.87,,
May,,,,,,,,2.36,1.90,1.66,,
June,,,,,,,,2.43,1.35,2.90,,
July,,,,,,,,1.05,3.67,3.60,,
August,,,,,,,,2.36,4.16,2.47,,
September,,,,,,,,0.54,1.46,3.97,,
October,,,,,,,,4.96,2.28,5.80,,
November,,,,,,,,2.17,1.16,1.16,,
December,,,,,,,,2.65,2.85,4.21,,
Total,,,,,,,,25.32,27.64,33.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.32,27.64,33.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
