GARSTON GRASSENDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ389847,Long,-2.919449,Lat,53.355634,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.61,0.94,0.68,2.14,3.05,2.91,1.38,3.89,2.61,1.55,0.53,3.1,1.3,3.46,1.17,1.37,3.87,1.25,1.56,1.48,3.18,4.05,1.77,2.12,2.39,1.92,1.04,4.88,0.94,1.59,1.39,2.9,0.61,4.21,2.81,1.42,3.33,1.18,2.11,1.67,3,3.77,3.62,3.82,1.53,2.55,1.68,2.62,3.69,4.82,2.09,4.36,3.29,2.8,1.36,2.31,1.59,4.79,2.03,3.48,4.79,2.92,2.65,4.03,3.64,3.52,2.23,3.57,1.91,6.16,,
February,,,,,,,,,,2.55,1.34,3.39,2.05,1.8,2.12,2.07,1.08,0.57,0.97,2.65,0.64,0.1,1.92,2.91,2.88,0.23,1.26,2.24,1.91,1.18,3.71,1.88,1.77,1.52,3.98,1.18,2.1,1.44,1.91,0.65,2.57,1.92,1.04,0.84,1.53,2.42,3.37,1.66,2.27,1.56,2.88,0.18,2.76,3.91,0.83,4.99,3.09,1.82,2.4,1.11,0.25,2.54,0.12,3.17,0.34,2.34,2.23,5.12,0.65,2.49,2.16,3.44,1.45,1.3,1.23,2.51,4.31,0.96,1.65,,
March,,,,,,,,,,1.19,1.92,3.23,1.85,1.36,2.57,1.88,2.3,1.41,2.21,2.23,2.18,1.05,1.31,0.51,1.53,2.92,3.29,2.11,0.53,1.39,1.3,1.39,1.66,3.74,1.55,2.91,2.16,1.79,2.62,2.92,0.66,1.16,4.53,2.81,2.83,1.54,2.12,3.11,1.07,6.13,3.78,1.59,1.98,1.37,0.93,0.77,1.04,2.82,1.83,0.52,3.24,0.23,2.09,2.13,1.7,1.09,1.66,1.42,1.03,1.86,2.37,3.24,2.23,0.75,1.07,0.82,0.9,4.49,0.67,,
April,,,,,,,,,,2.14,1.44,1.46,3.75,0.97,1.31,1.72,1.49,0.95,1.04,3.1,1.36,1.9,1.58,0.65,1.32,2.04,1.01,2.26,1.72,2.58,1.14,1.87,2.27,1.79,1.03,1.83,1.17,1.22,3.28,2.51,3.31,1.89,0.17,3.54,0.82,1.66,1.65,1.69,1.57,1.51,4.71,1.56,2.4,2.52,2.02,2.02,0.79,2.3,1.12,1.17,2.76,2.95,3.58,1.02,1.99,2.5,1.26,3.67,0.27,2.02,1.9,1.41,1.07,0.91,1.33,1.43,0.7,2.15,1.31,,
May,,,,,,,,,,2.41,2.47,2.94,1.17,1.03,1.27,1.55,5.27,2.14,0.8,2.46,1.92,2.26,2.92,1.2,2.26,0.52,0.52,1.37,3.7,2.56,1.67,1.04,4.53,3.08,2.23,0.57,2.47,2.88,2.63,1.44,2.49,0.6,2.08,3,2.13,1.77,2.94,3.6,3.14,0.89,3.75,2.32,1.14,3.54,5.84,3.48,3.41,1.39,1.35,1.69,1.25,2.56,5.19,1.71,0.93,1.56,0.78,2.78,2.75,1.48,1.94,1.58,3.37,2.32,2.06,2.89,1.64,3.67,1.03,,
June,,,,,,,,,,5.01,3.28,2.57,5.43,2.71,1.96,2.48,1.29,1.52,1.9,0.68,2.22,5.2,5.22,1.83,2.2,1.59,2.47,3.42,2.66,2.54,2.25,2.19,2.21,2.04,1.48,3.37,1.8,5.05,2.11,3.86,3.16,3.23,3.35,1.85,2.2,1.47,2.02,2.54,1.98,1.82,2.41,0.28,2.22,0.58,2.54,0.08,1.49,4.72,5.42,1.61,1.08,5.01,0.32,1.64,1.54,3.76,4.11,1.29,2.52,2.85,0.84,0.44,0.26,2.19,1.79,2.64,3.64,2.13,3.4,,
July,,,,,,,,,,3.77,5.72,2.51,4.32,3.51,3.7,1.69,2.74,2.69,6.96,3.27,2.4,4.93,2.42,2.93,3.07,4.74,2.21,0.96,0.51,2.29,1.88,2.22,2.31,3.38,1.51,2.44,0.85,2.28,3.08,3.25,4.4,0.86,3.04,2.24,5.06,3.57,1.27,1.66,4.87,1.61,5.64,1.5,4.18,2.7,4.97,2.7,3.61,3.3,2.44,3.33,5.37,2.64,4.34,1.54,0.62,1.57,3.09,2.24,3.24,5.48,2.27,2.32,2.82,3.63,1.98,2.31,3.81,3.25,2.77,,
August,,,,,,,,,,6.06,1.77,5.27,4.07,2.2,2.06,1.51,1.53,1.77,2.81,4.81,3.74,5.21,4.31,2.8,4.5,2.31,3.13,4.51,4.74,1.31,6.41,3.66,2.92,3.66,4.96,3.51,2.66,2.68,3.03,3.41,3.69,2.99,5.77,2.23,2.04,4.32,2.72,6.17,1.95,4.1,1.96,4.54,3.46,3.72,5.22,4.36,3.18,5.04,3.69,3.67,4.54,6.15,1.42,1.83,2.91,2.02,1.84,1.6,5.25,1.48,0.68,4.42,2.33,3.12,3.62,2.13,4.05,0.34,2.74,,
September,,,,,,,,,,2.9,3.17,1.87,2.93,5.03,2,4.2,3.38,4.24,0.81,2.73,1.37,3.44,3.25,3.66,0.93,1.37,4.13,4.83,1.2,3.13,0.66,1.18,1.13,4.74,2.37,1.6,1.81,0.64,3.21,2.85,0.5,4.43,1.06,1.63,2.59,0.5,2.8,1.09,6.72,2.18,2.91,1.08,2.89,3.39,4.11,4.59,3.99,6.68,1.7,1.86,3.47,2.95,2.64,0.74,2.39,5.48,3.05,1.77,1.74,0.88,2.92,0.73,1.69,3.87,5.35,1.44,3.21,2.52,1.4,,
October,,,,,,,,,,1.62,4.7,2.81,2.79,5.32,1.27,6.72,4.55,2.55,1.43,2.67,2.28,3.12,7.7,2.17,2.72,4.79,3.14,1.94,3.72,3.87,3.81,2.9,3.73,7.38,1.7,1.87,3.66,3.21,2.03,3.62,2.39,3.08,2.86,2.65,1.78,2.15,3.87,6,2.09,3.48,1.11,2.71,0.4,4.68,4.08,4.42,4.41,2.75,3.69,5.34,5.55,1.64,6.11,3.62,4.74,4.29,1.97,2.47,4.08,2.36,3.79,3.45,2.75,3.81,3.91,3.78,0.67,1.05,2.04,,
