"GARSTON GRASSENDALE PARK",,,,,,,,,,,,
Grid ref,SJ389847,Long,-2.919449,Lat,53.355634,,,,,,,
Station no,2811,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.05,1.77,2.12,2.39,1.92,1.04,4.88,0.94,1.59,1.39,,
February,3.71,1.88,1.77,1.52,3.98,1.18,2.10,1.44,1.91,0.65,,
March,1.30,1.39,1.66,3.74,1.55,2.91,2.16,1.79,2.62,2.92,,
April,1.14,1.87,2.27,1.79,1.03,1.83,1.17,1.22,3.28,2.51,,
May,1.67,1.04,4.53,3.08,2.23,0.57,2.47,2.88,2.63,1.44,,
June,2.25,2.19,2.21,2.04,1.48,3.37,1.80,5.05,2.11,3.86,,
July,1.88,2.22,2.31,3.38,1.51,2.44,0.85,2.28,3.08,3.25,,
August,6.41,3.66,2.92,3.66,4.96,3.51,2.66,2.68,3.03,3.41,,
September,0.66,1.18,1.13,4.74,2.37,1.60,1.81,0.64,3.21,2.85,,
October,3.81,2.90,3.73,7.38,1.70,1.87,3.66,3.21,2.03,3.62,,
November,3.08,2.99,2.20,3.36,1.68,3.44,1.81,2.81,1.85,1.17,,
December,2.98,3.24,2.53,1.34,3.05,0.36,2.93,1.93,1.86,6.70,,
Total,32.94,26.33,29.38,38.42,27.46,24.12,28.30,26.87,29.20,33.77,,
Calc annual,32.94,26.33,29.38,38.42,27.46,24.12,28.30,26.87,29.20,33.77,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
