"ORSETT HALL",,,,,,,,,,,,
Grid ref,TQ652825,Long,0.379557,Lat,51.517267,,,,,,,
Station no,1248/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.92,1.34,0.95,1.24,2.41,3.26,,1.16,1.57,1.23,,
February,4.73,0.88,1.02,2.24,1.05,0.20,,1.60,0.04,1.63,,
March,2.43,2.96,0.72,1.66,0.91,0.86,,0.80,1.03,1.03,,
April,2.41,0.57,2.07,0.25,0.20,1.24,,1.56,2.00,0.67,,
May,2.20,1.25,1.14,1.78,3.98,0.38,,1.55,0.96,2.54,,
June,1.09,1.57,1.40,3.06,2.01,1.76,,4.21,0.93,1.73,,
July,2.33,0.73,2.92,2.87,0.09,3.51,,2.33,1.80,2.48,,
August,2.07,2.67,1.47,3.86,0.79,3.29,,3.50,1.32,2.79,,
September,3.48,3.41,2.71,1.39,2.58,2.75,,4.66,0.13,4.35,,
October,0.73,1.72,2.32,1.53,3.87,0.91,,3.08,1.77,6.18,,
November,2.78,5.32,1.11,2.97,0.51,0.58,,1.70,2.66,2.94,,
December,1.64,1.98,0.74,1.13,1.52,2.05,,2.72,2.61,2.02,,
Total,27.81,24.40,18.57,23.98,19.92,20.79,,28.87,16.82,29.59,,
Calc annual,27.81,24.40,18.57,23.98,19.92,20.79,0.00,28.87,16.82,29.59,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,,
