ORSETT-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ6513882365,Long,0.378596,Lat,51.516072,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1248/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.86,0.97,1.8,1.26,0.97,1.14,1.54,1.11,3.59,3.7,2.23,3.64,2.29,2.47,2,4.53,1.25,1.76,1.04,1.84,2.77,0.87,1.42,1.92,1.34,0.95,1.24,2.41,3.26,,1.16,1.57,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.93,0.34,0.68,1.74,0.22,0.98,0.34,2.44,1.45,3.68,0.58,1.08,1.54,1.33,1.08,1.19,1.12,1.11,1.92,1.11,1.26,0.65,2.93,4.73,0.88,1.02,2.24,1.05,,,1.6,0.04,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.06,0.02,1.2,0.28,1.13,1.43,2.11,0.43,0.89,2.62,0.55,1.49,2.9,2.51,2.48,0.33,0.13,1.52,1.25,4.25,0.59,0.79,0.72,2.43,2.96,0.72,1.66,0.91,0.86,,0.8,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.7,1.28,1.56,3.74,1.44,0.57,1.58,3.31,1.69,2.37,0.62,1.98,1.9,1.52,0.82,1.18,1.75,1.02,1.64,1.14,1.32,1.48,1.51,2.41,0.57,2.07,0.25,0.2,1.24,,1.56,2,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.36,1.25,3.67,2.92,3,1.39,0.62,1.46,0.49,2.74,1.45,1.79,1.62,1.33,2.17,1.3,0.6,3.06,2.5,0.69,1.52,1.73,0.98,2.2,1.25,1.14,1.78,3.98,0.38,,1.55,0.96,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.09,0.82,0.78,1.42,0.72,1.5,1.29,2.75,3.75,2.29,0.42,1.06,0.43,0.97,0.2,1.42,1.84,1.31,2.05,2.46,1.92,0.86,1.17,1.09,1.57,1.4,3.06,2.01,1.76,,4.21,0.93,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.16,2.38,2.17,2.75,1.89,1.28,1.22,0.91,3.09,1.76,1.44,1.5,3.98,2.62,2.2,1.43,2.26,4.08,1.59,2.12,0.87,2.46,2.21,2.33,0.73,2.92,2.87,0.09,3.51,,2.33,1.8,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.11,2.03,2.55,3.78,0.98,0.52,1.84,2.15,0.68,0.72,1.73,2.55,0.15,3.99,2.04,0.98,3.23,1.79,3.35,0.19,3.9,1.44,1.11,2.07,2.67,1.47,3.86,0.79,3.29,,3.5,1.32,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.51,0.21,2.84,1.53,1.58,2.56,1.28,2.68,2.13,1.45,2.46,0.68,1.18,0.36,1.14,1.71,2.61,0.69,1.96,1.35,0.95,1.25,2.12,3.48,3.41,2.71,1.39,2.58,2.75,,4.66,0.13,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.15,2.36,0.97,0.51,4.82,1.16,1.33,2.69,1.13,1.42,2.32,7.38,2.39,1.05,3.44,1.8,3.22,1.47,1.19,0.07,1.68,5.15,0.23,0.73,1.72,2.32,1.53,3.87,0.91,,3.08,1.77,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
