YORK - HEWORTH,,,,,,,,,,,,,,,,
Grid ref,SE620525,Long,-1.056,Lat,53.965,Elevation,48,ft,,,,,,,,
Station no,RR4303,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878
January,,0.77,1.46,1.36,1.98,1.37,2.44,1.37,,,,,,,3.15,2.09
February,,1.05,1.15,2.30,1.20,0.99,1.16,1.59,,,,,,,2.02,0.98
March,,1.61,1.11,1.49,1.12,1.27,1.18,1.45,,,,,,,2.80,1.08
April,,1.61,1.26,1.03,2.52,1.57,2.03,0.57,,,,,,,3.13,1.07
May,,3.03,1.91,0.76,2.02,1.16,4.23,1.04,,,,,,0.59,2.28,3.47
June,,1.98,1.06,2.58,2.57,1.22,0.85,2.98,,,,,,2.33,1.11,3.10
July,,0.74,1.82,3.00,2.80,0.46,0.79,0.47,,,,,,2.07,3.01,1.55
August,,1.10,5.20,3.19,3.88,2.42,1.56,1.57,,,,,,1.71,4.37,5.62
September,,2.15,0.31,4.26,2.00,3.25,3.58,,,,,,,4.91,3.05,2.65
October,,2.22,4.67,2.35,1.37,2.68,1.30,,,,,,,2.26,2.91,1.59
November,,2.46,2.05,2.15,0.94,1.60,1.40,,,,,,,3.15,2.10,4.11
December,1.58,2.43,1.05,1.62,1.81,5.52,2.64,,,,,,,5.73,2.13,1.46
Total,,21.15,23.05,26.09,24.21,23.51,23.16,,,,,,,,32.06,28.77
,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/173,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt1/193,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt1/194,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# The detailed site/sites of these Heworth readings has not been determined.,,,,,,,,,,,,,,,,
# The indicative grid reference is for Heworth Hall.,,,,,,,,,,,,,,,,
