"WALDINGHAM RESERVOIR",,,,,,,,,,,,
Grid ref,TQ379549,Long,-0.024342,Lat,51.276565,,,,,,,
Station no,78,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.38,2.80,1.50,1.75,3.80,4.70,2.52,2.95,3.15,3.25,,
February,7.28,1.10,1.90,2.60,2.10,0.40,4.60,2.05,0.01,2.70,,
March,4.42,4.50,0.50,3.00,1.60,0.85,1.77,1.80,2.40,2.05,,
April,3.50,1.95,2.65,0.37,0.40,1.40,0.40,1.30,2.25,8.95,,
May,2.43,1.70,2.10,3.23,4.70,0.30,1.70,2.01,1.00,1.80,,
June,1.65,2.23,1.80,4.81,2.10,3.10,1.70,4.65,1.10,1.70,,
July,2.40,0.83,4.14,3.50,0.20,5.50,3.55,1.80,1.20,3.45,,
August,3.95,3.45,2.05,3.65,1.05,3.30,1.75,3.40,1.30,2.85,,
September,3.10,3.43,4.30,2.90,2.90,3.35,3.00,5.70,0.20,4.30,,
October,1.55,3.66,4.73,2.70,5.20,1.55,1.65,3.55,3.65,6.85,,
November,5.89,3.90,1.70,6.20,1.60,1.05,2.70,2.25,3.15,-999.00,,
December,3.70,3.15,1.00,2.27,3.10,4.30,2.35,3.65,6.05,4.04,,
Total,44.25,32.70,28.37,36.98,28.75,29.80,27.69,35.11,25.46,39.69,,
Calc annual,44.25,32.70,28.37,36.98,28.75,29.80,27.69,35.11,25.46,41.94,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-2.25,,
