WOLDINGHAM-RES,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ378547,Long,-0.02511,Lat,51.27522,Elevation,840,ft,,,,,,,,,,,,,
Station no,78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,4.17,1.67,1.33,3.4,4,3.65,3.03,3.78,1.73,2.92,2.95,3.4,2.55,4.75,1.5,3.55
February,,,,,,4.9,3.8,1,1.6,2.8,0.6,0.33,2.84,3.98,0.75,4.2,3.1,5,1.75,0.67,1.3
March,,,,,,0.65,3.82,1.7,1.1,3.7,1.6,1.8,2.2,2.14,1.5,0.9,0.35,3.7,2.65,0,1.9
April,,,,,,1.5,1.7,2.08,3.8,,3.2,1.52,3.39,2.55,3.86,2.5,5.05,2.1,2,1.35,2.1
May,,,,,,2.85,3.25,1.72,2.15,,1,1.57,1.45,2.91,3.58,2.55,1.39,1.35,2.55,2.07,3.29
June,,,,,,0.59,3.6,1.9,0.72,,1.15,0.09,1.61,0.53,2.75,0.27,3.9,4.48,3.1,1.12,0.55
July,,,,,,4.8,1.27,4.7,5.9,2,,0.21,3.96,3.42,5.15,2.9,1.6,,1.95,2.37,3.35
August,,,,,,3.45,3.12,6.8,1.4,2.7,1.75,1.42,3.12,2.34,3.3,2.45,3.91,6.5,3.5,2.64,3.95
September,,,,,,2.26,1.7,2.6,5.95,,4.8,1.17,2.72,1.7,4.9,1.9,1.1,6.22,0.8,0.12,3.98
October,,,,,,2.59,5.1,4.75,2.5,0.9,1.5,1.56,1.25,6.7,4.1,4.35,2.9,2.26,5.8,4.4,2.1
November,,,,,,3,5.9,1.9,2.4,2,1.8,1.59,2.24,2.1,3.9,2.85,6.6,3.31,3.4,7.7,
December,,,,,,7,3.33,1.9,3.2,5,3.05,2.01,4.49,3.42,4.4,3.4,0.64,5.5,4,7.8,
Total,,,,,,37.76,38.26,32.38,34.12,,,16.3,33.05,33.52,41.11,31.22,33.94,,36.25,31.74,
,,,,,,,,,,,,,,,,,,,,,
1919 Values estimated to agree with neighbouring stations at Caterham Oxted and Chaldon,,,,,,,,,,,,,,,,,,,,,
1920 July Estimated,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Most months low,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1927 July Estimated,,,,,,,,,,,,,,,,,,,,,
1930 Gauge taken away,,,,,,,,,,,,,,,,,,,,,
