TETTENHALL-THE-HOLLIES,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ892002,Long,-2.1608858,Lat,52.599481,Elevation,355,ft.,,,,,,,,,,,,,
Station no,2320,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.86,2.92,1.89,2.61,1.77,4.35,1.48,5.04,1.81,2.2,1.82,2.52,0.91,3.16,2.93,2.77,5.34,3.31
February,,,,5.06,0.85,3.34,1.86,1.87,2.63,0.55,0.45,2.42,0.17,3.59,0.32,2.51,2.49,3.75,0.65,0.94,2.34
March,,,,1.31,0.95,0.94,0.75,2.25,1.83,0.19,3.02,0.11,2.24,2.57,2.44,0.62,1.66,2.6,0.48,1.51,1.67
April,,,,2.09,2.78,1.84,2.11,1.8,1.12,0.6,2.67,4.01,3.78,0.84,2.37,3.77,2.07,2.53,0.15,1.66,2.9
May,,,,2.09,4.89,3.28,2.82,1.6,0.44,2.01,3.21,4.08,6.18,1.45,1,1.1,1.09,2.28,1.71,1.52,3.07
June,,,,0.4,2.53,0.14,1.29,4.45,2.77,1.75,1.04,4.02,0.77,2.84,1.27,3.96,3.85,0.78,1.46,1.4,0.76
July,,,,3.61,3.47,3.19,1.81,3.89,1.3,2.02,5.58,3.62,5.18,2.1,1.26,0.5,6.57,2.81,3.31,4.44,2.58
August,,,,2.08,3.84,3.86,2.76,3.71,2.6,2.11,2.67,5.48,2.61,0.98,2.41,1.75,0.57,1.1,3.95,2.42,
September,,,,2.66,3.08,4.17,0.97,4.04,0.83,0.79,3.53,2.6,2.64,0.87,1.87,3.52,3.52,2.58,2.09,0.78,
October,,,,3.93,3.72,3.75,2.53,2,4.49,4.19,3.13,1.03,4.47,5.06,1.91,3.94,1.69,2.13,2.44,3.67,
November,,,,2.11,1.63,2.27,4.93,4.13,3.94,5.99,3.41,3.5,1.95,0.93,2.2,5.81,2.53,1.46,3.29,4.91,
December,,,,3.26,2.56,2.33,0.6,2.05,1.87,4.75,3.22,0.85,0.81,0.44,4.54,2.8,2.36,2.3,3.1,1.83,
Total,,,,30.46,33.22,31,25.04,33.56,28.17,26.43,36.97,33.53,33,23.49,24.11,31.19,31.56,27.25,25.4,30.42,
,,,,,,,,,,,,,,,,,,,,,
NGR is The Hollies. Altitudes match,,,,,,,,,,,,,,,,,,,,,
