"HAPTON PARSONAGE",,,,,,,,,,,,
Grid ref,TM176966,Long,1.206153,Lat,52.523798,,,,,,,
Station no,1404,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,2.14,0.90,1.60,,,,,,,,
February,2.65,1.11,1.22,2.00,,,,,,,,
March,3.08,1.96,0.52,1.93,,,,,,,,
April,3.85,1.35,1.96,0.53,,,,,,,,
May,1.76,1.72,1.46,1.73,,,,,,,,
June,1.35,2.27,2.15,1.86,,,,,,,,
July,1.83,1.16,3.16,1.98,,,,,,,,
August,2.87,2.05,2.83,3.69,,,,,,,,
September,2.12,1.79,1.59,1.96,,,,,,,,
October,0.74,2.65,2.06,1.34,,,,,,,,
November,3.05,4.33,1.13,4.61,,,,,,,,
December,1.15,2.66,0.84,1.24,,,,,,,,
Total,27.08,25.19,19.82,24.47,,,,,,,,
Calc annual,27.08,25.19,19.82,24.47,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
