HULL DERRINGHAM STREET,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA083293,Long,-0.359,Lat,53.749,Elevation,14,ft,,,,,,,,,,,,,,,
Station no,RR1535,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,,3.05,1.63,0.96,2.21,0.76,2.42,2.39,0.84,0.15,0.72,1.91,1.92,2.82,1.71,3.14,1.58,0.98,1.41,2.13,1.15,0.96,1.02
February,,2.32,1.50,1.25,0.94,2.19,1.93,1.11,3.02,1.69,2.85,1.41,2.44,1.44,2.33,0.85,0.34,1.64,1.79,1.11,0.12,1.83,1.66
March,,2.40,2.16,1.02,0.70,3.49,2.01,1.14,0.89,2.43,2.27,1.20,1.05,1.67,1.80,2.77,1.52,2.31,2.20,1.36,1.08,0.61,0.59
April,,2.45,0.66,0.99,0.25,1.80,3.69,1.31,1.13,1.50,1.10,3.70,1.60,1.62,1.57,1.50,1.32,1.81,2.35,0.58,1.63,1.25,0.33
May,1.04,1.36,2.27,1.17,1.28,1.03,1.28,2.27,3.54,1.38,0.93,1.58,1.70,0.64,1.85,4.40,1.41,0.79,3.10,2.75,3.13,2.86,1.02
June,2.64,1.91,1.29,0.43,2.04,1.88,1.66,2.28,3.57,1.88,1.25,3.34,3.11,0.82,2.89,0.70,0.03,1.81,0.57,2.78,1.13,4.20,1.28
July,3.25,4.79,3.03,1.53,3.78,1.94,2.51,0.81,3.52,4.42,2.12,1.97,3.12,2.03,0.58,2.64,1.16,5.87,1.32,1.40,2.76,1.38,2.03
August,0.95,2.26,2.78,2.04,3.91,1.46,4.35,5.48,3.24,1.88,5.10,3.18,1.18,1.62,1.94,1.98,1.65,2.43,3.87,2.74,3.75,2.70,2.06
September,4.86,3.31,2.10,2.40,2.66,2.93,3.94,2.45,2.26,4.47,3.04,1.43,3.94,0.95,2.10,1.11,2.51,1.60,1.34,1.41,1.15,1.20,1.91
October,1.20,3.04,1.89,1.74,4.29,2.50,1.76,2.38,0.75,6.17,2.54,5.64,3.35,0.87,4.88,3.30,2.99,0.99,3.71,1.08,3.36,5.11,1.60
November,1.67,3.85,1.32,3.34,5.55,3.61,2.11,3.67,1.61,1.99,1.92,2.43,2.56,1.12,1.99,1.47,1.81,2.91,0.38,3.67,2.76,1.20,1.58
December,1.53,3.15,0.26,2.42,1.06,5.65,1.82,2.29,0.77,2.53,2.12,5.49,1.24,2.51,0.70,3.47,1.20,1.64,1.25,0.86,3.31,1.04,2.19
Total,,33.89,20.89,19.29,28.67,29.24,29.48,27.58,25.14,30.49,25.96,33.28,27.21,18.11,24.34,27.33,17.52,24.78,23.29,21.87,25.33,24.34,17.27
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/006,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/009,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/119,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The 1893 total has been reduced by 1.00 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
# Exact property not determined. Grid reference is based on distance to the church.,,,,,,,,,,,,,,,,,,,,,,,
