LINLITHGOW ACADEMY,,,,,,,,,,,,
Grid ref,NT004773,Long,-3.597692,Lat,55.978315,,,,,,,
Station no,5160,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.62,3.88,1.79,4.15,4.17,,
February,,,,,,1.90,1.63,2.50,1.22,1.51,,
March,,,,,,2.96,3.16,2.86,4.01,4.26,,
April,,,,,,1.71,0.91,1.40,1.41,3.69,,
May,,,,,,0.79,4.87,4.41,2.41,2.36,,
June,,,,,,0.26,1.63,3.53,1.65,2.12,,
July,,,,,,2.13,1.56,2.53,3.94,3.35,,
August,,,,,,3.40,5.76,4.86,2.57,2.56,,
September,,,,,,2.30,1.12,1.00,4.12,2.04,,
October,,,,,,2.37,5.79,7.56,1.45,4.73,,
November,,,,,,4.58,4.29,1.48,2.92,1.50,,
December,,,,,,2.73,1.97,4.65,1.92,4.48,,
Total,,,,,,26.75,36.57,38.57,31.77,36.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.75,36.57,38.57,31.77,36.77,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,,
