LINLITHGOW ACADEMY - monthly gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT004773,Long,-3.597692,Lat,55.978315,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.45,,,4.58,4.43,4.4,2.02,2.26,3.45,3.5,2.48,5,2.09,4,3.35,4.69,5.96,3.05,3.15,3.01,4.52,4.96,3.83,7.73,1.61,5
February,,,,,,1.86,1.93,,1.34,1.83,3.8,4.8,2.45,2.82,3.99,3.8,4.69,0.73,4.36,1.85,4.92,0.57,2.76,4.25,0.85,3.3,4.52,1.84,5.73,1.2,0.92
March,,,,,,3.34,3.39,,4.08,4.77,1.85,2.55,3.48,4.25,4.8,2.1,3.22,1.93,1.19,2.38,3.98,4.55,1.89,1.77,1.3,2.95,2.7,2.75,2.45,0.42,2.91
April,,,,,,1.85,1.06,,1.54,4.1,4.06,1.8,0.56,3.19,1.98,2.13,2.42,1.85,0.9,2.35,1.62,1.25,2.5,2.64,1.81,4.97,1.9,1.5,1.06,1.79,0.98
May,,,,,,0.9,5.19,,2.68,2.72,1.93,1.7,1.1,2.32,2.81,1.88,5.61,2.04,3,0.69,3.9,2.11,2.35,1.19,6.54,5.9,2.99,2.16,1.71,2.21,2
June,,,,,,0.28,1.79,,1.64,2.56,1.03,1.53,4.4,2.94,0.68,1.78,3.25,2.59,0.56,2.09,1.45,0.34,1.9,1.36,3.31,0.38,3.42,3.46,5.19,1.98,2.21
July,,,,,,2.23,1.78,,4.2,3.8,4.1,1.8,2.4,0.81,3.1,3.95,4.17,1.9,3.5,0.99,3.4,2.4,3.34,3.14,3.95,1.92,3.62,3.66,2.2,2.96,3.7
August,,,,,,3.58,6.2,,2.86,2.67,6.35,1.96,4.84,1.25,2.5,4.9,4.63,5.24,2.05,2.38,6.5,6.57,1.6,5.45,2.95,3.45,1.7,7.03,4.63,4.8,5.78
September,,,,,,2.41,1.29,,4.67,2.3,0.83,1.31,2.9,2.65,0.77,2.67,1.59,1.34,5.75,2.56,1.81,1.96,1.66,3.51,3.95,4.06,3.47,5.91,3.02,0.5,
October,,,,,,2.32,5.63,,1.66,5.32,2.72,4.2,3.67,1.87,1.99,3.7,6.71,4.2,5.57,1.51,1.2,4.55,2.01,3.65,3.21,2.65,4.91,4.62,4.64,3.58,
November,,,,,,4.88,4.59,,2.97,1.88,3.7,6.64,3.12,4.53,5.98,2,4.7,5.26,2.48,5.78,4.17,2.05,1.53,3.88,2.2,0.68,5.58,2.25,4.18,4.53,
December,,,,,,2.99,,,1.78,5.12,2.02,3.42,5.9,2.7,7.38,5.75,3.65,2.46,2.93,4.55,4.03,4.89,3.68,3.35,5.95,2.52,0.94,1.79,4.02,6.44,
Total,,,,,,28.09,,,34,41.5,36.79,33.73,37.08,32.78,39.48,37.14,49.64,31.63,36.29,30.48,41.67,37.2,28.27,37.34,39.03,37.3,40.71,40.8,46.56,32.02,
