HASLEMERE-GRAYSWOOD-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU916342,Long,-0.693175,Lat,51.099797,Elevation,580,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,4.05,3.22,4.34,3.14,1.26,1.4,5.14,3.48,0.83,2.5,5.65,3,1.32,2.85,0.71,3.95,4.09,1.73,1.37,3.11,5.34,1.45,4.35,0.98,2.01,1.45,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.4,3.85,0.68,1.17,1.47,3.3,1.05,0.03,1.26,3.98,2.2,0.24,0.57,3.93,1.29,3.3,7.3,2.28,2.02,2.48,4.27,0.72,3.66,1.98,1.28,0.68,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.22,2.32,2.67,2.1,5.5,3.03,1.95,3.44,1.56,0.31,2.26,2.71,4.23,5.28,1.28,1.08,0.85,2.53,2.35,4.09,1.62,4.73,1.73,1.48,4.15,5.3,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.16,2.64,2.38,1.92,2.1,2.64,2.76,1.03,1.23,0,2.36,2.75,0.49,1.9,1.4,2.81,1.2,2.82,1.42,2.81,1.55,1.18,0.57,5.02,3.9,1.92,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.95,3.7,4.6,1.8,2.08,3.02,1.8,2.14,0.98,0.91,2.12,0.47,0.2,1.51,4.26,1.25,1.67,0.92,2.18,3.45,3.88,0.52,2.3,2.16,2.55,2.29,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.05,1.61,0.62,0.82,3.31,1.38,2.7,1.32,1.6,1.43,2.52,0.16,3.4,2.26,2.24,1.2,3.68,1.85,3,4.55,0.72,6.7,1.71,1.96,0.8,2.8,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.11,0.64,2.55,0.92,8.53,1.92,3.96,2.41,2.48,3.43,5,5.23,1.11,0.74,0.36,0.95,1.16,2.71,1,3.35,1.15,0.72,0.55,1.2,2.3,2.63,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.11,1.07,2.1,2.7,2.92,2.55,3.32,5.61,3.52,1.05,2.43,2.58,2.2,4.98,1.4,0.39,3.05,1.65,4,4.94,2.51,3.2,1.61,2.4,5.36,1.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.95,6.87,2.44,4,1.41,0.9,1.27,1.49,3.5,1.77,2.62,0.59,7.63,2.14,2.8,4,0.61,1.66,1.12,3.49,2.09,1.94,2.22,0.48,2.11,2.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,0.79,4.59,5.3,1.51,1.78,7.38,1.48,8.38,4.5,4.97,5.43,2.8,3.91,0.58,3.8,3.02,2.38,3.4,2.65,8.35,2.46,1.6,6.44,7.06,2.85,7.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,1.6,3.66,4.07,6.05,5.64,1.68,2.37,4.47,3.52,2.93,5.85,6.12,1.58,1.25,4.2,5.72,3.2,0.78,3.8,2.01,1.55,3.67,5.42,2.95,1.42,0.62,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,3.79,1.87,5.61,2.38,2.6,2.4,0.98,5.53,1.9,3.85,3.12,3.73,5.1,4.73,3.9,2.13,4.83,5.67,2,2.87,3.41,0.59,2.52,4.43,4.22,5.13,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,26.18,36.04,37.36,28.51,38.6,31.6,28.78,39.33,26.88,27.13,41.56,30.38,31.74,32.15,27.64,29.8,34.02,28,26.91,45.5,30.55,27.02,33.08,32.1,32.95,34.35,37.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
