BEXLEYHEATH-DANSON-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ4726575128,Long,0.11819817,Lat,51.455983,Elevation,168,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,411/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.29,3.21,1.89,3.56,2.57,2.37,1.74,4.38,0.99,1.24,0.94,0.87,1.98,0.88,1.11,2.36,1.77,0.89,1.31,2.37,,1.06,1.63,2.08,1.54
February,,,,,,1.28,3.59,0.51,0.83,1.6,1.04,0.75,1.08,0.7,0.85,1.63,0.86,1.06,1.01,3.58,6.39,0.87,1.54,2.06,1.55,,2.67,2.25,0.05,1.45
March,,,,,,0.92,2.91,0.33,1.22,3.19,2.29,2.09,0.27,0.05,1.1,1.02,4.27,0.77,0.76,0.63,2.44,2.36,0.5,1.76,1.12,,0.83,1.36,1.68,1.51
April,,,,,,1.5,2.12,0.33,2.25,1.54,1.54,0.6,1.08,0.98,1.09,1.21,1.19,1.44,1.72,2.42,2.66,0.97,2.28,0.26,0.34,,0.26,1.66,1.87,0.36
May,,,,,,0.29,3.22,1.4,1.71,1.57,1.4,2.75,1.99,0.37,1.78,3.67,0.69,2.1,1.69,1.26,1.98,1.34,1.75,1.81,4.43,,1.15,1.69,1.16,2.04
June,,,,,,2.73,2.03,0.47,1.47,1.63,2.48,0.4,1.12,1.44,1.33,1.55,1.52,2.74,0.63,1.5,1.27,1.38,1.52,3.5,2.35,,0.74,5.33,0.73,1.22
July,,,,,,2.46,0.68,0.9,1.9,4.08,1.96,1.83,1.33,1.14,3.2,1.25,1.82,0.95,1.08,3.13,1.64,0.62,3.73,2.8,0.07,,4.33,1.66,1.83,3.15
August,,,,,,0.46,0.5,1.34,2.81,0.12,3.27,2.51,1.75,2.69,1.19,3.5,0.2,4.2,1.26,1.32,3.53,3.18,1.73,3.25,0.81,,2.13,5.52,0.8,3.54
September,,,,,,2.97,1.23,1.12,1.24,1.15,0.64,1.46,1.19,2.73,1.12,2.02,1.11,0.99,0.58,3,2.31,3.22,2.22,1.74,2.78,,2.46,5.94,0.08,4.16
October,,,,,2.56,1.81,2.04,1.77,6.32,2.33,0.71,3.28,2.33,2.7,1.54,1.33,0.15,1.77,5.06,0.39,0.85,2.31,3.8,1.58,3.46,,1.68,2.59,1.92,5.45
November,,,,,3.39,2.81,1.76,1.94,3.29,5.95,2.56,1.94,0.97,2.82,0.15,2.39,0.87,1.7,2.41,4.88,4.36,3.62,0.83,4.26,0.47,,2.58,1.81,2.87,3.43
December,,,,,1.79,1.58,3.46,1.75,0.8,0.92,1.52,1.75,1.37,1.13,2.1,1.57,1.83,2.32,1.31,1.25,1.82,2.31,0.78,1.34,1.97,,1.72,2.72,3.3,2.44
Total,,,,,,22.1,26.75,13.75,27.4,26.65,21.78,21.1,18.86,17.74,16.69,22.08,15.38,22.02,18.39,24.47,31.61,23.95,21.57,25.67,21.72,,21.61,34.16,18.37,30.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
