"BEXLEYHEATH (DANSON PARK)",,,,,,,,,,,,
Grid ref,TQ472755,Long,0.117418,Lat,51.459343,,,,,,,
Station no,411/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.36,1.77,0.89,1.31,2.37,,1.06,1.63,2.08,1.54,,
February,6.39,0.87,1.54,2.06,1.55,,2.67,2.25,0.05,1.45,,
March,2.44,2.36,0.50,1.76,1.12,,0.83,1.36,1.68,1.51,,
April,2.66,0.97,2.28,0.26,0.34,,0.26,1.66,1.87,0.36,,
May,1.98,1.34,1.75,1.81,4.43,,1.15,1.69,1.16,2.04,,
June,1.27,1.38,1.52,3.50,2.35,,0.74,5.33,0.73,1.22,,
July,1.64,0.62,3.73,2.80,0.07,,4.33,1.66,1.83,3.15,,
August,3.53,3.18,1.73,3.25,0.81,,2.13,5.52,0.80,3.54,,
September,2.31,3.22,2.22,1.74,2.78,,2.46,5.94,0.08,4.16,,
October,0.85,2.31,3.80,1.58,3.46,,1.68,2.59,1.92,5.45,,
November,4.36,3.62,0.83,4.26,0.47,,2.58,1.81,2.87,3.43,,
December,1.82,2.31,0.78,1.34,1.97,,1.72,2.72,3.30,2.44,,
Total,31.61,23.95,21.57,25.67,21.72,,21.61,34.16,18.37,30.29,,
Calc annual,31.61,23.95,21.57,25.67,21.72,0.00,21.61,34.16,18.37,30.29,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,-0.00,0.00,-0.00,,
