LONDONDERRY CREGGAN RESERVOIR,,,,,,,,,,,,
Grid ref,IC4147517204,Long,-7.352571,Lat,55.000777,,,,,,,
Station no,6245,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.28,3.51,2.93,4.31,5.22,3.08,5.77,3.47,3.17,5.43,,
February,2.54,2.26,1.41,3.93,2.78,3.78,3.94,4.11,4.29,3.41,,
March,1.59,3.67,2.77,5.11,2.12,3.20,3.39,5.24,4.60,3.95,,
April,2.57,3.00,2.07,2.14,3.22,3.09,3.62,3.76,2.95,2.77,,
May,2.73,1.49,4.48,2.40,2.65,1.99,3.22,4.01,2.09,3.07,,
June,3.64,3.95,1.40,0.87,1.10,1.66,1.08,5.31,2.88,1.49,,
July,4.17,1.52,3.90,4.88,4.05,2.36,2.02,3.84,4.18,4.81,,
August,4.01,6.22,3.62,6.93,7.33,4.46,5.93,5.07,4.52,4.04,,
September,3.34,3.18,3.74,2.85,2.68,2.56,1.49,1.13,6.71,2.55,,
October,6.02,4.18,2.81,6.82,2.80,2.67,3.39,3.64,1.25,4.67,,
November,4.85,4.86,2.92,3.99,4.73,4.85,4.62,3.28,3.67,2.77,,
December,5.61,4.54,4.43,2.69,3.06,2.83,6.88,4.30,3.90,4.31,,
Total,45.35,42.38,36.48,46.92,41.74,36.53,45.35,47.16,44.21,43.27,,
Calc annual,45.35,42.38,36.48,46.92,41.74,36.53,45.35,47.16,44.21,43.27,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
