COIRE CRUACHAN,,,,,,,,,,
Grid ref,NN080277,Long,-5.113012,Lat,56.402409,Elevation,1020,ft,,
Station no,5408/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,8.55,15.5,10.14,3.65,6.01
February,,,,,,4.63,7.7,6.31,5.35,7.05
March,,,,,,6.35,11,2.22,6.45,2.93
April,,,,,,4.02,4.79,4.39,4.65,7.89
May,,,,,,7.35,3.22,7.9,2.5,3.92
June,,,,,,5.51,6.87,2.75,5.4,7.45
July,,,,,,9.45,10.49,4.82,10.81,6.4
August,,,,,,8.17,8,8.74,5.32,7.81
September,,,,,,7.37,5.78,8.26,3.92,5.42
October,,,,,12.48,7.8,15.03,11.85,9.88,3.04
November,,,,,4.74,10.4,5.72,4.18,11.1,7.65
December,,,,,13.77,19.55,12.55,6.15,11.1,11.53
Total,,,,,,99.15,106.65,77.71,80.13,77.1
,,,,,,,,,,
BR 1956 P Feb Mar Estd,,,,,,,,,,
BR 1957 P Au estd,,,,,,,,,,
BR 1959 P May Au Sep Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5408/1,,,,,,,,,
Midas,13941,,,,,,,,,
Hyd Stn,657841,,,,,,,,,
