HAWES JUNCTION - MOORLAND COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD807923,Long,-2.298,Lat,54.326,Elevation,1125,ft,,,,,,,,,,,,,,,,,,,,,
Station no,3423/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,15.95,5.31,10.44,4.50,,,15.89,12.07,2.01,-999.00,6.22,10.55,17.09,6.69,8.85,7.44,11.60,6.27,-999.00,7.28,5.03,2.74,6.45,5.26,4.77,10.93,6.46,4.39,7.68
February,0.30,9.39,0.51,20.23,,9.49,5.69,12.63,2.41,6.26,2.45,8.78,5.48,13.79,8.43,,7.12,8.53,-999.00,5.53,1.25,4.25,3.48,2.97,2.28,5.38,9.22,2.10,7.82
March,4.53,5.06,3.77,3.80,,2.33,6.98,6.36,8.40,5.20,3.85,4.49,1.53,5.76,2.78,6.30,7.41,2.38,3.98,6.25,4.68,1.98,4.00,1.95,3.55,6.03,1.62,4.29,2.14
April,6.50,2.81,3.86,5.49,1.58,4.47,1.44,3.90,3.30,3.93,4.97,7.45,5.58,3.52,2.67,8.87,4.48,10.33,5.71,4.85,2.93,3.96,2.17,2.66,2.10,1.12,2.03,4.90,5.57
May,4.83,3.17,8.69,0.68,,3.47,4.64,1.01,1.43,3.15,5.14,6.42,5.06,5.84,1.95,2.01,1.79,3.47,3.06,2.73,3.40,2.42,5.01,6.25,3.70,3.60,6.76,4.05,2.20
June,1.13,2.05,4.71,6.17,4.85,4.13,10.14,5.75,1.42,2.22,0.89,6.48,7.62,7.89,5.36,4.82,8.82,1.17,4.45,2.57,4.63,3.40,5.21,3.81,3.52,2.01,4.49,4.62,3.54
July,8.83,5.39,4.52,6.93,,3.17,7.50,9.27,8.25,2.04,7.37,5.85,6.05,3.83,7.99,5.82,2.64,3.70,5.80,3.08,2.89,8.67,8.15,2.35,5.44,6.90,6.03,4.41,10.60
August,1.02,3.10,9.00,3.75,3.41,2.83,6.59,4.23,3.66,9.17,5.81,14.62,6.20,4.39,11.58,0.13,7.44,4.25,11.14,6.17,7.29,8.05,7.15,1.57,11.13,9.38,7.69,1.23,3.14
September,9.09,2.38,6.11,12.13,,6.47,2.93,3.14,7.10,1.12,7.87,8.74,11.48,7.65,10.89,5.78,8.33,2.44,12.89,5.94,5.90,8.41,11.40,3.89,4.34,6.76,6.96,1.24,4.36
October,8.76,5.71,17.36,19.03,,2.99,22.67,3.60,7.85,10.88,10.67,9.63,9.24,9.98,1.46,0.87,6.11,10.54,6.06,2.33,6.72,2.92,15.95,4.74,5.05,9.84,5.97,7.29,5.16
November,5.11,3.01,2.64,9.54,,1.34,13.71,12.78,10.00,5.87,2.29,6.18,14.88,0.82,13.19,14.44,5.76,8.62,7.96,12.65,2.79,9.30,12.06,3.03,2.66,2.18,1.45,9.14,12.39
December,6.42,0.60,11.11,4.22,,2.44,6.74,4.72,7.57,8.05,10.52,6.43,9.55,3.81,8.86,3.93,7.91,13.56,2.68,16.36,5.31,3.35,13.02,11.89,8.29,7.38,5.10,12.55,8.70
Total,72.47,47.98,82.72,96.47,,,104.92,79.46,63.40,59.61,68.05,95.62,99.76,73.97,84.01,,79.41,75.26,79.76,75.74,52.82,59.45,94.05,50.37,56.83,71.51,63.78,60.21,73.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Readings for January-March, May, July and September-December 1936 are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for January 1937 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January and February 1940 are part-estimates for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for January 1941 is a apportioned (with what?) for snow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1947 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January and February 1950 are apportioned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2016 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
