EASTBOURNE-KINGS-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ600000,Long,0.26803921,Lat,50.777513,Elevation,120,ft,,,,,,,,,,,,
Station no,530/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.99,5.33,6,5.09,6.71,2.54,3.85,,,,,,,,,
February,,,,,4.79,2.41,6.27,1.05,1.93,2.93,3.71,,,,,,,,,
March,,,,,0.7,1.42,4.52,0.77,1.6,3.12,2.72,,,,,,,,,
April,,,,,4.31,2.01,3.5,0.59,2.4,1.37,0.92,,,,,,,,,
May,,,,,1.21,0.26,2.84,2.8,1.45,1.38,2.25,,,,,,,,,
June,,,,,2.54,3.21,1.64,1.04,1.49,0.8,1.94,,,,,,,,,
July,,,,,0.26,5.23,1.56,2.37,2.43,2.69,2.2,,,,,,,,,
August,,,,,5.01,0.85,1.74,1.27,2.48,0.08,5.24,,,,,,,,,
September,,,,,6.55,2.28,2.56,2.96,0.85,,0.48,,,,,,,,,
October,,,,3.01,5.93,1.32,3.65,4,8.81,,1.61,,,,,,,,,
November,,,,4.62,8.04,5.35,1.39,4.76,7.74,9.1,4.35,,,,,,,,,
December,,,,9.53,4.29,2.68,5.14,4.1,2.16,,1.72,,,,,,,,,
Total,,,,,44.62,32.35,40.81,30.8,40.05,,30.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Sep Oct Dec estimated,,,,,,,,,,,,,,,,,,,,
