LITTLE-SHELFORD-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL455518,Long,0.12496346,Lat,52.14533,Elevation,52,ft,,,,,,,,,,,,
Station no,RR7293,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.86,0.77,,1.26,3.05,2.23,1.48,2.88,,,,
February,,,,,,,,,1.21,0.26,,0.86,1.05,0.84,1.24,2.11,,,,
March,,,,,,,,,1.73,2.78,,1.66,2.46,1.84,3.38,1.54,,,,
April,,,,,,,,,2.5,1.58,,0.73,0.16,1.96,0.76,1.12,,,,
May,,,,,,,,,1.51,1.52,,1.31,1.19,2.32,1.3,1.93,,,,
June,,,,,,,,,1.18,3.08,1.52,2.75,,2.64,1.94,1.25,,,,
July,,,,,,,,,2.45,2.65,1.68,0.45,1.97,1.41,1.14,3.47,,,,
August,,,,,,,,,2.39,,1.85,0.9,6.91,1.02,1.42,3.55,,,,
September,,,,,,,,,2.02,,1.2,1.3,1.86,1.32,0.71,1.4,,,,
October,,,,,,,,,1.15,,2.11,1.96,2.18,3.22,2.18,1.09,,,,
November,,,,,,,,,0.83,,2.4,2.76,2.02,1.98,2.65,2.08,,,,
December,,,,,,,,,1.4,,3.39,3.33,,0.84,5.56,3.33,,,,
Total,,,,,,,,,19.23,,,19.27,,21.62,23.76,25.75,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Jun Dec estimated,,,,,,,,,,,,,,,,,,,,
