"UPHALL, BANGOUR ASYLUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT031709,Long,-3.5521397,Lat,55.921386,Elevation,587,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.32,2.12,2.51,1.52,3.61,1.72,3.15,2.74,3.32,4.64,2.23,2.34,2.75,2.5,3.26,2.94,,0.91,4.06,2.06,4.43,,,,,,,,
February,,,1.98,1.6,2.25,2.07,4.18,0.83,3.47,1.4,3.24,0.47,2.01,3.68,0.64,2.37,3.44,1.5,,1.17,0.5,2.04,0.1,,,,,,,,
March,,,2.53,3.09,2.68,1.83,2.36,1.83,0.86,1.47,2.97,3.31,1.68,0.84,0.9,1.53,1.53,1.87,,0.52,2.23,1.3,2.27,,,,,,,,
April,,,0.64,1.81,1.55,1.57,2.76,1.32,0.78,2.44,1.81,0.9,1.84,2.69,1.64,4.11,1.91,1.44,,2.03,1.01,2.41,3.08,,,,,,,,
May,,,1.04,1.26,2.11,1.72,5.17,1.72,2.78,0.65,3.25,1.94,1.91,1.7,5.03,4.44,3.1,1.72,,1.79,1.51,3.16,3.52,,,,,,,,
June,0.76,,3.42,1.88,0.87,1.71,2.69,2.28,0.7,2.24,1.25,0.39,2.09,1,2.28,0.47,3.17,3.4,,2.42,2.06,5,,,,,,,,,
July,2.24,,2.75,0.93,2.82,3.71,3.93,1.77,3.02,0.92,3.96,2.77,3.87,2.88,3.54,1.95,2.9,2.45,,3.08,3.61,5.17,,,,,,,,,
August,5.08,,3.58,0.85,2.29,3.13,3.69,5.45,2.2,2.54,5.91,5.6,1.65,4.78,3.81,2.84,2.17,7.07,,4.66,5.65,3.98,,,,,,,,,
September,0.72,,1.68,1.36,0.87,2,1.52,1.49,4.69,2.8,1.63,2.13,1.9,3.73,3.71,4.47,3.47,7.15,,0.85,3.61,1.57,,,,,,,,,
October,0.79,,2.34,1.61,1.56,1.79,5.5,3.36,3.9,1.55,0.85,4.1,1.99,2.79,3.72,2.35,4.1,3.69,,3.5,3.97,2.57,,,,,,,,,
November,1.98,,2.2,3.27,3.63,1.32,3.39,4.14,1.7,5.2,2.33,1.61,1.54,2.66,1.6,0.66,4.24,2.19,,4.64,4.48,3.92,,,,,,,,,
December,0.9,,4.28,2.19,3.89,4.7,3.54,2.36,2.59,3.29,2.35,4.7,2.89,2.57,3.49,2.43,0.7,1.01,,4.59,1.83,1.9,,,,,,,,,
Total,,,27.76,21.97,27.03,27.07,42.34,28.27,29.84,27.24,32.87,32.56,25.6,31.66,33.11,30.12,33.99,36.43,,30.16,34.52,35.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 all estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925 Dec 0.5"" added for snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928 ""annual total appears 4"" low, MG Edinburgh agrees to addition - deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
