"MASHAM MOOR (ROUNDHILL RES.)",,,,,,,,,,,,
Grid ref,SE151777,Long,-1.770062,Lat,54.194841,,,,,,,
Station no,3409,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.37,3.17,0.71,3.30,3.14,4.82,4.26,3.26,3.85,6.13,,
February,4.54,0.55,2.23,3.35,2.72,2.29,3.62,6.59,0.19,3.54,,
March,4.85,2.19,0.59,2.58,2.61,1.77,2.16,2.83,2.60,3.37,,
April,2.51,1.74,3.21,0.75,1.05,2.31,0.34,1.00,4.25,1.96,,
May,7.73,1.83,2.67,5.13,3.36,0.93,1.67,6.17,1.16,1.51,,
June,1.15,1.27,3.67,2.59,2.79,3.47,1.66,4.06,1.56,1.04,,
July,1.33,1.22,3.59,2.54,1.06,6.04,4.03,4.18,1.79,4.40,,
August,5.83,3.71,3.96,6.71,1.43,8.16,6.33,4.86,0.81,3.16,,
September,1.76,5.41,2.90,3.61,1.97,4.49,4.33,3.22,0.21,3.91,,
October,1.84,4.50,2.03,7.34,2.05,2.39,3.72,3.10,3.80,7.69,,
November,9.87,2.45,3.06,7.04,2.85,0.87,2.59,1.01,5.85,5.67,,
December,5.57,2.92,2.05,4.48,5.11,4.48,4.15,5.54,7.64,4.75,,
Total,50.35,30.96,30.67,49.42,30.14,42.02,38.86,45.82,33.71,47.13,,
Calc annual,50.35,30.96,30.67,49.42,30.14,42.02,38.86,45.82,33.71,47.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
