SCARBOROUGH MANOR ROAD,,,,,,,,,,,,
Grid ref,TA030886,Long,-0.419417,Lat,54.282667,,,,,,,
Station no,RR6543,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.57,0.72,,
February,,,,,,,,,1.74,1.36,,
March,,,,,,,,,2.95,6.22,,
April,,,,,,,,,2.12,2.63,,
May,,,,,,,,,1.53,1.69,,
June,,,,,,,,,1.42,1.56,,
July,,,,,,,,,1.73,3.20,,
August,,,,,,,,,2.38,4.90,,
September,,,,,,,,,1.85,2.17,,
October,,,,,,,,,1.25,2.77,,
November,,,,,,,,,1.54,1.69,,
December,,,,,,,,,3.33,5.38,,
Total,,,,,,,,,23.41,34.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.41,34.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
