"MONTROSENESS",,,,,,,,,,,,
Grid ref,NO733567,Long,-2.437635,Lat,56.701245,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.55,1.70,1.15,3.20,2.32,0.49,1.53,1.25,1.52,1.13,,
February,5.30,1.55,0.90,3.55,3.53,0.95,0.85,1.25,0.79,0.56,,
March,1.25,1.20,1.00,2.55,1.11,3.21,0.93,1.03,3.27,3.29,,
April,0.95,2.45,2.75,1.15,1.05,1.05,1.24,1.85,0.65,3.35,,
May,2.10,1.20,2.25,1.35,3.11,0.78,4.61,5.45,1.50,1.69,,
June,2.40,1.70,1.85,1.75,0.41,0.23,0.68,5.23,0.87,0.53,,
July,3.75,1.25,2.80,2.85,0.66,0.94,0.71,1.43,1.49,3.55,,
August,1.45,1.85,3.80,2.23,4.33,1.10,4.89,2.57,1.14,1.85,,
September,1.80,0.90,1.60,2.16,0.53,0.87,1.08,0.87,4.08,0.76,,
October,2.25,1.50,1.20,4.39,0.92,1.42,4.45,5.53,2.39,3.44,,
November,3.45,1.45,2.90,0.63,0.40,6.45,3.47,1.81,1.26,0.38,,
December,3.50,3.40,3.16,3.13,1.98,1.23,2.78,2.93,1.38,3.66,,
Total,32.75,20.15,25.36,28.94,20.35,18.72,27.22,31.20,20.34,24.19,,
Calc annual,32.75,20.15,25.36,28.94,20.35,18.72,27.22,31.20,20.34,24.19,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
