MORCHARD BISHOP RECTORY,,,,,,,,,,,,
Grid ref,SS768077,Long,-3.751694,Lat,50.855652,,,,,,,
Station no,1831/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.46,4.94,0.80,2.32,3.78,3.84,2.13,3.10,4.76,3.18,,
February,3.86,0.98,1.87,3.34,3.37,0.47,4.28,2.80,0.25,2.85,,
March,4.98,3.13,1.04,2.84,1.10,1.42,2.42,0.83,3.30,1.88,,
April,3.05,3.67,2.33,0.71,1.13,1.66,0.31,0.60,2.85,2.42,,
May,2.74,2.47,1.91,2.77,3.40,1.16,1.13,2.79,1.02,1.89,,
June,1.73,1.45,1.72,3.47,3.36,2.63,2.40,3.52,1.57,0.97,,
July,2.26,1.06,3.48,3.41,1.88,3.48,3.62,2.91,2.20,4.37,,
August,4.32,5.87,2.79,3.07,0.77,3.19,3.16,3.17,2.90,3.52,,
September,2.93,3.42,4.11,3.14,2.40,7.25,3.69,3.89,0.39,5.46,,
October,1.79,4.68,3.37,3.02,1.84,2.23,2.86,3.21,3.47,8.16,,
November,5.43,4.21,3.22,6.46,2.92,1.73,2.32,2.89,6.39,4.60,,
December,3.27,3.48,1.22,3.85,6.08,3.37,2.12,3.64,5.91,4.85,,
Total,39.82,39.36,27.86,38.40,32.03,32.43,30.44,33.35,35.01,44.15,,
Calc annual,39.82,39.36,27.86,38.40,32.03,32.43,30.44,33.35,35.01,44.15,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
