MORCHARD-BISHOP-RECTORY,,,,,,,,,,,,,,
Grid ref,SS771076,Long,-3.74698,Lat,50.85538,Elevation,540,ft,,,,,,
Station no,1831/7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,,,,,,,,,1.43,3.46,4.94,0.8,2.32
February,,,,,,,,,,6.72,3.86,0.98,1.87,3.34
March,,,,,,,,,,0.67,4.98,3.13,1.04,2.84
April,,,,,,,,,,2.68,3.05,3.67,2.33,0.71
May,,,,,,,,,,2.26,2.74,2.47,1.91,2.77
June,,,,,,,,,0.89,1.41,1.73,1.45,1.72,3.47
July,,,,,,,,,2.93,4.2,2.26,1.06,3.48,
August,,,,,,,,,1.69,5.14,4.32,5.87,2.79,
September,,,,,,,,,2.92,5.82,2.93,3.42,4.11,
October,,,,,,,,,6.87,1.72,1.79,4.68,3.37,
November,,,,,,,,,4.3,7.89,5.43,4.21,3.22,
December,,,,,,,,,2.59,4.46,3.27,3.48,1.22,
Total,,,,,,,,,,44.4,39.82,39.36,27.86,
,,,,,,,,,,,,,,
1949 Moved from Stn No 1837/6,,,,,,,,,,,,,,
1954 July 6 Gauge moved 300yds S,,,,,,,,,,,,,,
