"SPEAN BRIDGE (THE COUR)",,,,,,,,,,,,
Grid ref,NN222758,Long,-4.916358,Lat,56.839533,,,,,,,
Station no,5732,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.41,7.75,6.71,8.85,6.74,8.50,21.70,10.80,5.42,10.20,,
February,5.66,3.52,8.09,6.29,7.05,5.50,9.75,5.75,5.65,8.35,,
March,3.55,7.14,3.41,6.05,1.97,5.07,8.55,2.55,10.15,1.82,,
April,10.54,4.60,6.68,4.22,8.50,5.50,4.05,5.04,8.25,11.30,,
May,0.83,3.90,5.07,5.56,4.04,10.25,2.32,9.47,2.20,4.20,,
June,3.79,4.66,1.62,4.16,5.10,4.20,2.90,3.27,6.00,4.10,,
July,4.42,3.60,8.46,3.95,0.70,7.80,8.25,4.55,7.75,3.82,,
August,7.36,6.23,6.64,5.26,2.30,5.10,7.68,5.90,7.45,5.65,,
September,7.49,7.82,-999.00,10.66,10.66,10.77,6.20,6.70,2.60,5.28,,
October,3.54,14.54,7.85,15.82,10.30,10.02,15.20,11.56,13.25,3.30,,
November,7.61,4.12,14.41,13.07,4.15,7.35,3.25,2.30,12.18,11.85,,
December,13.50,11.81,12.59,13.06,17.35,23.06,14.60,8.75,15.00,12.25,,
Total,77.70,79.69,89.06,96.95,78.89,103.12,104.45,76.64,95.90,82.12,,
Calc annual,77.70,79.69,81.53,96.95,78.86,103.12,104.45,76.64,95.90,82.12,,
Difference,0.00,0.00,7.53,0.00,0.03,0.00,0.00,0.00,0.00,0.00,,
