ROTHWELL-LODDINGTON (MAWSLEY ASHPOLE SPINNEY) ,,,,,,,,,,
Grid ref ,SP811777 ,Long ,-0.809674,Lat ,52.391327,Elevation ,400,ft ,,
Station no ,1129,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January ,,,0.74,2.1,2.28,,,,,
February ,,,1.96,1.23,3.52,,,,,
March ,,,0.94,1.73,1.7,,,,,
April ,,,1.32,2.34,1.29,,,,,
May ,,,2.07,2.92,2.4,,,,,
June ,,,2.56,2.98,1.18,,,,,
July ,,,0.95,2.53,,,,,,
August ,,,2.88,3.87,,,,,,
September ,,,2.22,3.32,,,,,,
October ,,,1.85,6.39,,,,,,
November ,,,1.8,1.62,,,,,,
December ,,3.56,1.25,0.97,,,,,,
Total ,,,20.54,32,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1901 Nov estimated ,,,,,,,,,,
Gauge moved 1904 ,,,,,,,,,,
