BRIGHTON-WEST-PIER-END,,,,,,,,,,
Grid ref,TQ302037,Long,-0.15306608,Lat,50.818218,Elevation,27,ft,,
Station no,RR7711,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,0.77,0.93,1.3,0.55,,0.78,2.08
February,,,,1.33,0.86,1.42,1.54,,1.15,2.29
March,,,,1.23,0.27,0.54,1.58,,0.87,0.51
April,,,,0.71,0.71,1.2,1.05,,2.42,2.67
May,,,,0.49,0.3,0.42,0.82,,2.99,1.95
June,,,,2.1,1.57,1.86,2.04,,1.58,2.97
July,,,,1.2,1.18,1.61,0.15,,0.67,1.56
August,,,,1.42,0.92,1.23,2.31,,3.12,2.5
September,,,,1.44,2,1.03,2.65,,0.44,1.61
October,,,,2.02,2.82,2.61,0.36,,1.77,0.26
November,,,,1.56,1.6,1.92,2.03,,1.76,0.65
December,,,,0.28,1.07,1.08,,,1.08,0.25
Total,,,,14.55,14.23,16.22,,15.9,18.63,19.3
