WIRKSWORTH-GREENGATES,,,,,,,,,,
Grid ref,SK288540,Long,-1.5715004,Lat,53.08245,Elevation,495,ft.,,
Station no,RR4338,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,6.58,5.49,2.23,4.46,,,,
February,,,1.82,1.35,2.86,5.47,,,,
March,,,5.25,5,3.97,0.94,,,,
April,,,0.6,3.69,1.51,1.2,,,,
May,,,2.9,2.24,2.12,1.37,,,,
June,,,4.31,1.28,1.94,1.49,,,,
July,,,5.5,0.92,4.72,4.5,,,,
August,,,7.62,1.74,2.8,3.18,,,,
September,,,1.21,1.38,1.64,,,,,
October,,,4.52,4.03,3.39,,,,,
November,,,3.4,3,4.78,,,,,
December,,,4.19,1.36,7.47,,,,,
Total,,,47.9,31.48,39.43,,,,,
,,,,,,,,,,
NGR is what appears to be Greengates on Coldwell St where the gauge moved to in Dec 1911. Altitudes match.,,,,,,,,,,
