LIMERICK - REBOGUE ENGINE STATION (Second gauge),,,,,,,,,,,,,,,,,,,
Grid ref,IR598577,Long,-8.595,Lat,52.669,Elevation,15,ft,,,,,,,,,,,
Station no,RR2378,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,4.33,3.31,2.45,4.60,5.19,2.16,3.22,4.49,3.98,4.94,5.14,5.40,2.71,5.35,1.28,4.01,3.43,2.69
February,,1.81,1.54,1.63,3.92,3.50,3.56,2.16,3.07,2.32,2.67,2.94,0.69,2.11,1.12,4.25,2.72,1.31,5.06
March,,3.42,3.67,2.76,3.33,2.92,2.38,3.19,3.08,2.48,,2.22,3.90,1.60,1.09,4.13,2.66,1.73,1.15
April,,3.27,1.80,1.14,1.32,1.47,3.64,2.34,3.35,1.73,4.23,1.62,2.43,1.88,1.65,3.73,2.56,3.18,1.36
May,,4.91,2.01,1.61,4.27,1.65,3.07,2.29,3.97,2.74,0.83,1.36,1.95,1.58,1.74,0.78,1.99,2.68,2.52
June,,2.96,2.51,2.93,1.20,4.14,2.30,1.63,1.11,0.98,3.31,3.89,2.09,1.19,4.31,1.30,3.45,6.94,
July,9.08,3.58,0.78,0.85,5.06,2.20,2.20,1.10,1.51,0.92,4.73,2.81,3.26,3.19,2.56,1.25,1.25,1.96,3.32
August,7.28,2.47,4.44,1.49,4.52,3.98,3.67,6.53,1.62,2.17,2.05,2.79,5.50,5.69,3.48,3.63,4.61,4.14,
September,7.98,2.00,3.94,3.98,0.48,4.42,2.50,2.30,5.41,3.49,1.98,3.74,,3.78,6.47,3.85,2.57,2.90,
October,3.28,4.83,4.90,1.73,4.81,1.92,5.50,4.68,2.37,7.20,3.50,,5.86,4.30,4.31,,4.53,3.72,
November,3.28,2.56,6.33,4.85,4.63,2.23,0.85,2.37,4.00,2.06,1.64,,,3.71,3.74,3.50,6.24,1.61,
December,2.41,3.06,3.56,1.98,3.05,5.40,1.88,6.17,4.63,2.94,2.09,5.54,,4.97,1.60,4.94,4.32,1.61,
Total,,39.20,38.79,27.40,41.19,39.02,33.71,37.98,38.61,33.01,,,,36.71,37.42,,40.91,35.21,
,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_08_pt2/029,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_13_pt1/060,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# The following readings are shown as estimates and have been omitted:,,,,,,,,,,,,,,,,,,,
# March 1871,,,,,,,,,,,,,,,,,,,
# October and November 1872,,,,,,,,,,,,,,,,,,,
"# September, November and December 1873",,,,,,,,,,,,,,,,,,,
# October 1876,,,,,,,,,,,,,,,,,,,
