SHAW'S WWKS GARNOCKS,,,,,,,,,,
Grid ref,NS 25598 71139,Long,-4.791165,Lat,55.901671,Elevation,631,ft,,
Station no,RR8923,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.8,7.7,9.2,10.6,6.2,6.6,6.2,6.2,6.1
February,,5,6.5,8.5,9.1,6,2.5,5.3,1.9,4.4
March,,7.2,6.4,2.7,3.5,4.8,4.7,2.7,4.9,4.1
April,,2.6,3.8,4,2.5,4,3.3,3.7,3.9,4.8
May,,4.2,3.9,4,5.2,3.8,4.6,1.5,6.7,3.7
June,,7,5.2,3.8,1.3,2.1,1.9,2,3.7,1.8
July,,7,8.6,3.4,7.5,3.5,4.2,4.7,6.7,2.8
August,,6,3.9,7.1,4.1,3.9,4,4.5,5,8
September,,4.3,5.3,4.5,5.4,9.9,8.4,6.3,3.1,2.5
October,,3.4,5.8,7.6,9,5,5.5,4.1,3.7,5.6
November,,8.6,8.5,9.7,6.6,5.4,6.2,5.7,9.9,3.8
December,,8.1,7.8,9,10.1,4.2,5.5,5.9,7.7,6.7
Total,,64.2,73.4,73.5,74.9,58.8,57.4,52.6,63.4,54.3
,,,,,,,,,,
Station no,RR8923,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
