LOUGH ALLEN DOWRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG9909426796,Long,-8.0146335,Lat,54.190253,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,1.78,0.58,2.76,7.47,4.55,,,,,,,2.13,2.94,2.55,5.78,,,,,
February,,,,,,,4.38,,,,2.82,3.8,1.91,3.09,2.96,,,,,,,0.17,2.85,4.85,4.57,,,,,
March,,,,,,,4.61,,,,2.03,3.78,4.09,1.23,,,,,,,,3,1,1.3,2.43,,,,,
April,,,,,,,2.76,,,,3.97,1.9,2.27,2.03,,,,,,,,2.79,1.12,1.36,4.64,,,,,
May,,,,,,,0.47,,,,2.19,2.21,1.96,2.59,,,,,,,,2.65,5.76,2.77,2.4,,,,,
June,,,,,,,1.88,,,,5.13,4.22,5.36,2.07,,,,,4.81,,,1.77,2.47,2.41,2.89,,,,,
July,,,,,,,1.62,,,,4.76,1.87,4.46,,,,,,4.48,,,2.17,2.93,3.24,4.53,,,,,
August,,,,,,,3.22,,,,1.74,4.02,3.4,,,,,,,,,7.14,6.17,4.69,,,,,,
September,,,,,,,4.79,,,,2.89,2.77,2.49,5.43,,,,,,,,2.28,4.52,3.53,,,,,,
October,,,,,,,3.92,,,,0.79,3.76,2.65,4.72,,,,,,,3.44,4.25,3.93,3.1,,,,,,
November,,,,,,,2.97,,,,4.76,3.72,7.49,5.16,,,,,,,8.02,2.41,3.52,3.76,,,,,,
December,,,,,,,7.71,,,,4.2,3.24,4.81,3.45,,,,,,,2.47,3.75,3.6,4.72,,,,,,
Total,,,,,,,,,,,37.06,35.87,43.65,,,,,,,,,34.51,40.81,38.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No indication of locality at all on record so NGR taken near centre of village of Dowra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
