ELVANFOOT (PEDEN RES),,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 94066 12434,Long,-3.674067,Lat,55.394376,Elevation,1030,ft,,,,,,,,,,,,,
Station no,5187,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,9.4,15.4,1.3,12.15,6.2,14.35,8.25,11.15,3,8.55,8.15,11.28,,
February,,,,,,,,3.15,7.25,2.35,0.2,5.15,0.1,6.2,0,8,3.4,5.25,4.9,,
March,,,,,,,,5.5,8.5,0.45,2.35,2.85,4.2,4,4.5,3.25,4.1,1.2,6.8,,
April,,,,,,,,5.2,2.35,1.45,2.2,3.65,5.15,3.1,5,5,2.1,3.25,0.08,,
May,,,,,,,,3.4,1.35,6.5,3.4,3.25,3.15,3.2,5.8,1,1,3.15,6,,
June,,,,,,,,6.1,6.15,3.5,4.15,6.35,1,2.25,2.45,6.25,2.5,5.5,8.07,,
July,,,,,,,,5.31,4.3,4.4,4.3,7.2,7.15,6,3.5,4,4.25,6.25,7,,
August,,,,,,,,7.2,8.5,7.15,10.2,5.1,2.1,2.4,6,0.45,3.2,3.55,4.05,,
September,,,,,,,,10,5.2,2,4.45,2.5,7.05,2.4,5,5.3,4.35,6.5,4.05,,
October,,,,,,,,9.45,11.1,8.45,11.25,3.1,10.1,4.25,12,9.75,9,4.9,12.75,,
November,,,,,,,,9.13,9.5,11.1,8,10.35,5.35,2.3,2,8.5,6.45,1.01,14.44,,
December,,,,,,,,2.15,5.4,16.15,6.2,6.4,15.2,1.2,14.35,5,11.25,3.03,6.1,,
Total,,,,,,,,75.99,85,64.8,68.85,62.1,74.9,45.55,71.75,59.5,60.15,51.74,85.52,,
