ROCHDALE DRAKE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD896128,Long,-2.1577299,Lat,53.612312,Elevation,473,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.7,2.18,3.48,3.64,4.72,2.51,3.7,4.32,1.05,4.43,4.09,3.26,4.87,2.11,6.65,4.02,1.74,0.42,0.99,3.6,4.92,5.4,2.42,,,,
February,,,,2.13,3.17,2.86,4.45,3.92,2.92,5.3,1.5,4.28,3.45,0.86,1.52,1.32,4.9,5.6,1.81,2.9,2.49,6.36,3.21,2.25,2.58,3.56,,,,
March,,,,0.8,2.63,1.35,1.29,2.39,3.92,1.28,2.57,1.66,2.44,2.99,2.91,0.72,4.66,3.09,1.99,1.69,3.32,4.05,3.35,1.04,2.63,2.86,,,,
April,,,,1.09,1.79,1.41,1.01,5.19,1.39,2.05,2.13,3.55,2.74,0.49,1.28,1.16,2.58,2.19,1.8,1.66,1.85,1.6,4.45,1.85,1.38,1.27,,,,
May,,,,2.12,3.44,2.36,1.18,2.53,1.14,2.78,1.63,0.95,2.15,2.21,1.47,1.87,0.96,3.54,4.4,1.76,2.37,4,1.88,0.71,1.59,2.17,,,,
June,,,,4.1,3.02,0.95,5.75,2.55,0.04,1.44,1.32,2.57,5.73,1.89,1.23,3.94,3.52,2.3,2.56,5.68,2.05,2.12,7.2,4.45,0.85,4.36,,,,
July,,,,1.81,1.54,3.18,3.53,4.01,0.25,1.1,0.23,4.05,3.57,4.62,2.39,5.03,3.57,5.98,0.55,5.48,6.23,3.67,6.24,2.53,4.62,1.44,,,,
August,,,,3.82,2.89,4.3,4.95,1.68,2.68,1.65,2.65,1.14,3.69,4.02,5.72,3.68,4.78,4.77,5.93,5.26,2.05,5.37,3.02,2.46,2.31,1.45,,,,
September,,,,6.94,4.72,0.34,7.45,3.54,1.62,7.42,2.92,3.88,6.16,2.72,3.37,5.55,3.8,3.83,4.49,2.8,4.34,2.61,2.36,5.55,2.81,6.02,,,,
October,,,,5.35,2.77,5.6,3.17,4.18,5.27,4.33,9.96,4.34,4.11,4.96,5.45,4.11,3.4,7.12,3.76,2.44,3.2,3.37,3.34,5.48,2.87,5.6,,,,
November,,,,4.08,3.59,3.02,5.28,2.02,2.96,6.43,3.42,1.1,4,2.87,4.87,5.43,3.24,8.38,3.01,1.55,3.6,4.54,5.9,4.51,1.73,2.76,,,,
December,,,,4.26,2.69,0.86,5.58,4.32,8.91,6.58,2.72,2.34,2.67,0.69,3.97,1.47,6.62,4.4,2.38,2.81,6.04,4.59,4.39,3.41,4.92,2.41,,,,
Total,,,,41.2,34.43,29.71,47.28,41.05,33.61,44.06,35.37,30.91,45.14,32.41,37.44,39.15,44.14,57.85,36.7,35.77,37.96,43.27,48.94,39.16,33.69,36.32,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer T H Hayle is probably Thomas Hayle, born Jamaica, surgeon and medical practioner living at 154 Drake St in 1871 although could be his son Thomas Hahnemann, born Northamptonshire and 16 in 1871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Son Thomas also became a doctor and remained living at 154 Drake St until the 1891 census although father, by then, deceased.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for 154 Drake St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
