"DUNFERMLINE, VICTORIA PLACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 09225 88025,Long,-3.459952,Lat,56.076394,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.73,5.39,2.09,1.16,3.56,1.46,3.71,3.78,4.08,1.27,2.3,3.85,2.76,1.75,3.51,2.11,3.63,3.8,4.16,5.47,,,,,,,,,
February,,,1.44,6.21,3.91,0.98,1.6,1.31,1.55,1.69,2.94,4.11,2.29,1.74,2.63,3.26,4.24,0.73,3.73,2.27,3.58,0.51,,,,,,,,,
March,,,1.67,5.49,1.5,3.83,2.43,1.57,3.99,4.7,1.32,1.76,4.36,3.74,4.3,1.76,3.98,1.94,1.17,1.89,2.8,3.13,,,,,,,,,
April,,,1.02,1,2.83,1.8,1.02,1.16,1.33,3.56,2.76,1.48,0.36,2.52,1.52,1.43,2.75,2.08,0.86,3.03,1.9,0.77,,,,,,,,,
May,,,1.99,1.84,3.26,1.83,5.96,3.27,2.68,3.36,1.6,1.15,1.34,2.53,2.49,1.46,4.96,1.98,3.15,0.69,2.59,1.84,,,,,,,,,
June,,,2,2.39,1.58,0.41,1.94,4.56,1.5,1.92,1.44,1.84,4.28,1.87,0.62,2.94,3.24,1.92,0.68,1.62,1.46,0.29,,,,,,,,,
July,,,3.93,4.83,1.83,2.42,1.67,3.55,4.04,2.93,3.87,1.86,2.54,0.79,4.2,4.37,5.63,2.54,4.38,1.26,2.63,2.39,,,,,,,,,
August,,,2.25,4.27,4.19,2.76,5.91,4.25,1.93,3.08,6.36,1.11,5.27,1.21,3.19,4.94,4.23,6.59,2.34,2.72,4.04,5.07,,,,,,,,,
September,,,1.7,2.42,2.21,1.6,1.36,1.18,7.14,2.53,0.82,1.44,3.16,2.47,0.86,2.06,1.65,1.46,3.88,2.43,1.82,1.71,,,,,,,,,
October,,,1.28,6.81,1.07,2,4.26,7.53,2.55,3.38,1.99,2.59,2.71,1.56,2.39,3.96,5.89,3.29,3.74,1.79,1.24,3.93,,,,,,,,,
November,,,1.18,1.59,0.85,4.79,4.65,2.12,2.45,0.91,3.29,4.86,2.01,2.95,4.06,1.61,4.96,4.38,2.03,5.98,2.91,1.87,,,,,,,,,
December,,,3.22,1.66,3.58,2.34,1.74,4.27,1.11,4.92,2.05,3.3,5.12,3.16,6.2,5.82,3.75,2.2,2.53,4.98,4.42,4.13,,,,,,,,,
Total,,,23.41,43.9,28.9,25.92,36.1,36.23,33.98,36.76,32.52,26.77,35.74,28.39,35.22,35.36,48.79,31.22,32.12,32.46,33.55,31.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
