KERRY (THE FOREST),,,,,,,,,,,,
Grid ref,SO131894,Long,-3.281433,Lat,52.495559,,,,,,,
Station no,4248/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.96,2.20,3.70,2.98,5.90,,
February,,,,,,0.50,3.24,4.85,0.38,3.69,,
March,,,,,,1.62,2.37,1.37,2.68,2.00,,
April,,,,,,1.85,0.13,0.62,4.75,2.77,,
May,,,,,,0.84,1.60,2.79,3.04,1.12,,
June,,,,,,1.59,2.46,3.57,2.47,2.69,,
July,,,,,,2.92,4.51,4.52,3.01,2.56,,
August,,,,,,3.63,7.47,2.51,0.27,6.42,,
September,,,,,,4.21,6.43,7.01,0.04,4.13,,
October,,,,,,1.73,2.75,3.33,3.33,6.50,,
November,,,,,,1.57,3.34,1.86,4.50,6.42,,
December,,,,,,3.35,2.97,3.11,6.74,5.09,,
Total,,,,,,28.77,39.47,39.24,34.19,49.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.77,39.47,39.24,34.19,49.29,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,,
