BLACKPOOL SANATORIUM,,,,,,,,,,,,,,,,,,,,
Grid ref,SD316370,Long,-3.040595,Lat,53.824748,Elevation,59,ft,,,,,,,,,,,,
Station no,RR6775,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.45,2.69,1.37,1.22,3.03,4.28,4.17,1.56,2.26,3.27,,1.63,4.58,1.36,,
February,,,,,4,0.31,1.48,2.52,1.94,2.56,3.53,1.71,1.81,2.59,,1.34,3.44,1.56,,
March,,,,,2.14,3.31,3.58,3.68,0.47,2.19,0.64,3.26,2.11,3.55,,2.76,2.66,2.65,,
April,,,,,1.05,2.16,1.4,2.55,2.27,3.93,1.71,2,1.42,1.45,,2.63,1.15,1.69,,
May,,,,,2.28,0.38,0.5,1.34,4.35,2.46,1.71,1.17,2.61,3.09,,0.58,3.84,2.93,,
June,,,,,2.64,1.45,2.26,4.58,2.02,2.07,2.19,1.88,1.31,1.98,,2.07,1.41,5.53,,
July,,,,,2.35,3.95,4.15,1.26,0.52,2,1.24,1.44,2.65,4.06,,1.56,1.89,2.42,,
August,,,,,4.53,3.07,2.67,3.41,5.32,1.75,5.69,3.64,2.37,4.8,,3.91,3.01,4.01,,
September,,,,,0.49,0.74,5.55,3.61,1.58,3.57,2.25,1.16,0.92,5.57,,2.93,0.99,0.89,,
October,,,,,3.85,5.11,4.58,2.02,4.04,3.55,5.93,3.04,3.7,8.27,,2.92,5.22,4.18,,
November,,,,1.53,3.47,3.25,1.56,5.69,3.43,2.64,3.42,5.14,2.77,3.95,,4.48,2.22,3.29,,
December,,,,3.44,2.86,3.01,3.78,3.88,3.86,2.82,4.44,4.48,3.22,2.83,,0.86,2.9,3.59,,
Total,,,,,32.11,29.43,32.88,35.76,32.83,33.82,36.92,30.48,27.15,45.41,30.32,27.67,33.31,34.1,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved here in Oct 1893 from Blackpool Hospital about 500 yds west,,,,,,,,,,,,,,,,,,,,
