"WELSHPOOL (COUNTY SCHOOL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4252,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.99,3.54,4.61,1.84,2.58,3.13,2.96,3.37,6.43,1.06,4.69,
February,2.70,0.46,3.62,4.95,0.56,3.85,2.43,1.87,2.75,0.64,0.76,
March,3.56,1.87,3.20,1.09,1.32,0.84,0.74,3.01,2.17,0.48,2.83,
April,4.28,0.75,2.07,1.86,3.46,1.00,1.61,2.74,1.35,0.92,3.44,
May,2.54,1.91,0.99,2.68,3.32,3.21,2.75,1.25,1.45,1.59,1.46,
June,3.33,0.32,1.40,0.30,3.00,0.04,1.02,4.16,3.84,2.28,0.87,
July,4.90,1.31,3.94,3.21,4.45,1.74,3.13,2.86,1.28,2.21,3.29,
August,1.34,4.68,1.87,3.73,3.46,2.37,2.69,5.28,3.33,2.39,2.05,
September,2.04,0.97,2.29,2.19,3.75,1.91,2.16,4.92,1.60,1.39,3.99,
October,2.77,1.96,1.10,4.68,4.94,3.66,3.01,2.83,2.55,3.54,3.95,
November,1.59,3.03,1.34,2.07,2.50,1.68,4.67,4.38,6.15,6.60,4.68,
December,2.20,3.73,4.16,3.21,2.78,2.85,0.65,2.43,2.58,7.14,4.57,
Total,34.24,24.53,30.59,31.81,36.12,26.28,27.82,39.10,35.48,30.24,36.58,
Calc annual,34.24,24.53,30.59,31.81,36.12,26.28,27.82,39.10,35.48,30.24,36.58,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,
