AMPTHILL-SILSOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL080358,Long,-0.427869,Lat,52.010133,Elevation,214,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.1,2.94,1.34,2.47,1.89,3.44,1.16,2.2,0.35,0.93,1.26,2.16,1.81,1.65,3.07,1.83,0.63,1.36,2.37,1.79,0.9,2.2,1.65,2.82,1.08,3.59,0.87,2.71,3.48,0.73,0.45,2.46,2.44,0.98,3.35,1.09,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.12,1.02,1.25,1.05,2.03,1.71,1.28,3.11,2.51,2.52,1.7,3.16,0.98,2.15,0.45,0.62,1.87,2.17,0.85,0,1.69,3.42,1.77,0.18,0.58,2.81,1.05,2.12,4.59,0.96,1.24,0.96,2.73,1.02,1.67,0.92,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.7,1.05,0.48,0.6,2.66,1.91,0.84,0.97,1.35,1.56,1.33,0.7,0.96,1.26,1.48,1.15,2.85,2.02,2.35,1.8,0.88,0.25,1.17,1.77,3.52,4.12,1.75,0.92,0.96,2.88,1.14,2.92,1.36,2.82,2.05,0.77,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.82,0.74,1.34,1.6,2.49,2.74,2.7,2.64,1.51,1,3.43,1.78,1.45,2.79,1.79,1.15,2.09,2.9,0.97,1.28,0.77,0.18,1.18,1.49,0.8,1.99,1.45,2.39,1.29,2.64,0.66,1.22,1.1,1.78,0.82,2.77,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.26,2.03,0.54,1.93,0.2,2.02,4.03,2.39,1.02,0.99,1.63,1.72,0.59,2.68,4.38,2.5,0.91,4.98,1.94,3.01,1.37,2,2.39,0.91,0.45,1.85,3.24,2.73,1.23,1.45,2.32,2.72,1.61,1.33,1.47,3.33,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.23,2.11,1.45,2.69,1.29,1.96,2.06,5.08,1.79,1.88,2.81,2.03,2.33,1.77,0.6,0.73,2.49,1.36,2.63,1.69,3.02,1.13,1.64,0.79,1.36,2.22,2,1.29,2.37,1.11,2.93,6.29,0.82,4.07,4.46,1.94,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.05,2.11,1.64,5.31,1.25,2.41,0.38,3.1,5.7,2.06,2.18,2.41,2.43,0.3,2.22,0.68,4.28,4.42,3.77,2.4,2.67,4.36,3,4.61,1.17,1.02,1.42,1.26,2.01,3.65,1.31,3.41,3.8,0.79,0.39,2.07,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.86,2.27,1.32,1.06,1.17,3,3.94,4.88,1.89,5.07,1.53,1.14,1.7,2.17,1.4,1.13,2.79,1.99,1.45,4.53,3.67,2.75,3.19,4.06,3.04,2.62,1.92,1.17,3.49,1.52,2.73,3.23,1.96,2.82,1.02,2.24,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,0.78,2.21,2.79,2.67,5.88,1.35,1.06,2.73,5.46,2.33,2.19,3.76,1.66,3.33,1.27,3.07,1.47,2.66,0.51,0.84,3.24,1.39,1.93,0.62,6.43,2.68,0.29,2.26,0.58,1.15,1.05,2.15,1.28,1.74,0.97,0.7,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.2,2.27,2.29,5.22,0.64,1.36,2.16,0.49,5.48,2.6,4.85,1.91,1.27,4.53,3.2,1.59,1,3.14,1.75,6.07,3.96,4.03,2.95,2.94,4.27,1.04,2.66,3.6,2.42,1.54,1.33,5.8,1.17,1.16,4,4.07,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.99,2.18,1.68,3.77,3.65,3.42,3.6,-999,2.12,2.53,4.37,2.74,1.33,2.95,2.43,2.74,4.4,0.63,2.32,2.65,1.71,2.15,5.46,4.34,1.61,1.41,2.59,3.03,1.94,1.16,1.6,2.08,1.37,2.24,4.43,2.37,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,3.07,0.54,1.99,0.99,4.99,1.58,1.31,-999,2.06,3.69,2.67,0.82,2.06,0.86,3.61,1.24,1.5,1.04,0.9,3.96,1.61,1.97,1.47,2.41,3.61,3.16,2.7,1.67,2.77,3.81,1.44,1.62,1.81,1,2.41,3.69,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,26.18,21.47,18.11,29.36,28.14,26.9,24.52,28.96,31.24,27.16,29.95,24.33,18.57,26.44,25.9,18.43,26.28,28.67,21.81,30.02,25.49,25.83,27.8,26.94,27.92,28.51,21.94,25.15,27.13,22.6,18.2,34.86,21.45,21.75,27.04,25.96,24.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 - Gauge overflowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 Nov-Dec -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1882 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
