BURNTISLAND,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 23410 85761,Long,-3.231485,Lat,56.058547,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8262,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.47,1.43,2.18,2.84,2.57,2.81,2.09,0.65,3.55,1.92,2.3,4.19,,,,
February,,,,,2.36,1.51,2.96,1.65,2.11,2.03,1.76,3.75,3.03,1.81,0.73,0.99,,,,
March,,,,,3.3,0.52,2.09,1.16,1.45,0.9,1.73,1.16,3.53,1.81,1.63,1.48,,,,
April,,,,1.76,1.11,0.56,0.84,2.7,3.19,1.1,0.22,6.19,2.31,0.12,0.9,0.73,,,,
May,,,,2.12,0.65,3.15,1.4,4.73,2.05,1.63,1.21,0.9,3.57,2.87,1.76,0.55,,,,
June,,,,4.18,1.64,0.42,0.86,2.32,1.13,1.55,1.44,2.33,2.78,1.27,1.06,1.73,,,,
July,,,,0.37,1.85,4.14,3.01,5.71,0.35,1.19,1.28,3.23,2.35,3.16,2.37,2.97,,,,
August,,,,4.33,1.26,3.81,3.96,2.58,3.65,0.79,0.74,2.68,4.52,3.66,5.01,1.49,,,,
September,,,,2.14,2.59,0.62,3.18,2.12,3.77,3.88,2.1,2.2,5.69,4.01,1.43,2.77,,,,
October,,,,3.02,6.98,5.29,1.48,1.47,1.53,2.18,2.13,2.82,3.19,4,2.69,3.93,,,,
November,,,,2.01,1.85,2.74,2.24,0.66,1.01,1.41,0.89,4.2,4.4,1.68,3.85,6.13,,,,
December,,,,1.84,1.65,1.23,2.26,1.27,3.65,0.72,2.64,1.55,1.78,1.84,2.67,2.08,,,,
Total,,,,,26.71,25.42,26.46,29.21,26.46,20.19,18.23,31.66,40.7,28.15,26.4,29.04,,,,
,,,,,,,,,,,,,,,,,,,,
1863 JFM+ T Estd Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8262,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
