LOCHAILORT (ARIENSKILL),,,,,,,,,,,,,,,,,,,,
Grid ref,NM7877183017,Long,-5.63312,Lat,56.8856,Elevation,82,ft,,,,,,,,,,,,
Station no,5719/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,11.07,3.98,1.1,1.33,8.59,8.29,11.13,6.37,10.77,7.47,8.23,12.73,
February,,,,,,,,8.75,11.25,3.21,5.52,4.03,10.8,4.17,8.69,8.56,0.02,8.14,10.83,
March,,,,,,,,15.89,8.64,6.15,3,2.38,4.82,5.53,7.37,3.92,2.35,7.16,,
April,,,,,,,,2.53,4.48,4.32,5.23,2.26,10.01,7.41,3.53,6.38,13,7.1,,
May,,,,,,,,4.37,2.6,2.62,1.37,4.3,4.6,8.28,5.06,1.3,3.12,1.81,,
June,,,,,,,,11.74,4,4.1,3.24,4.88,7.03,8.67,10.3,8.04,5.8,7.62,,
July,,,,,,,,13.56,10.33,7.45,5.54,9.83,5.27,2.74,5.67,10,5.37,6.79,,
August,,,,,,,,6.29,3.17,8.54,12,11.26,8.12,4.82,3.23,7.04,0.12,7.01,,
September,,,,,,,,7.08,2.79,8.78,5.47,12.14,10.32,6.86,8.63,7.66,11.59,13.83,,
October,,,,,,,,14.03,1.66,8.52,8.63,14.07,16.54,9.2,6.29,0.82,6.33,10.68,,
November,,,,,,,,14.59,10.59,11.54,12.81,5.05,8.22,7.53,1.77,8.84,12.21,8.34,,
December,,,,,,,,11.16,7.45,12.58,8.84,10.81,6.75,9.46,7.53,9.43,3.92,13.02,,
Total,,,,,,,,121.06,70.94,78.91,72.98,89.6,100.77,85.8,74.44,82.76,71.3,99.73,,
,,,,,,,,,,,,,,,,,,,,
Station no,5719/6,,,,,,,,,,,,,,,,,,,
Midas,14076,,,,,,,,,,,,,,,,,,,
Hyd Stn,703693,,,,,,,,,,,,,,,,,,,
