ROUNDWOOD (VARTRY LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2160601706,Long,-6.186972,Lat,53.052417,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.15,5.8,9.66,5.23,6.11,6.8,6.75,,,,,,,1.25,1.68,5.57,7.81,5,4.24,2.55,3.15,4.15,5.9,7.3,2.35,1.9,7.55,7.65,6.88,1.19,6.95,3.88,5.48,5.3,6.67,2.12,5.76,4.94,2.38,6.8,0.7,2.56,1.52,3.69,1.59,7.26,9,2.07,2.96,2.32,1.26,4.31,5.78,5.61,3.56,5.2,2.02,7.62,4.66,8.69,3.03,5.68,2.61,5.23,3.19,3.57,2.85,3.68,1.4,5.92,7.64,4.53,7.32,5.17,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.44,4.18,2.63,3.6,5.57,7.3,8.67,1.41,,,,,,,5.92,5.8,3.85,10.65,11.76,5.27,2.78,1.6,1.5,3.2,2.35,0.3,5.15,6.05,4.82,0.1,2.71,3,2.57,5.45,8.81,1.47,3.52,3.38,6.06,0.91,3.56,1.89,1.33,0.87,5.63,3.03,6.2,2.06,5.68,7.54,5.62,1.17,4.01,4.62,2.29,1.12,2.7,9.79,1.78,4.85,4.24,3.28,3.58,3.99,2.99,1.99,0.42,6.08,0.1,4.45,3.94,5.91,1.5,4.13,7.41,,,,,,,,,,,,,,,,,,,,
March,,,,,,,7.98,5.66,3.64,4.08,6.38,3.18,6.07,4.92,,,,,,,5.4,7.02,4.13,1.03,4.96,2.9,6.07,0.4,9.45,3.1,5.6,1.8,1.35,1.97,3.06,4.4,3.81,7.83,1.92,1.4,1.13,3.54,2.05,8.02,3.98,4.48,2.94,1.77,4.4,6.26,2.84,1.96,5.43,3.51,4.2,0.86,5.38,4.42,2.32,2.61,4.39,3.27,2.64,3.39,1.2,0.89,0.89,3.84,8.27,0.57,4.04,4.3,1.58,2.79,3.7,1.27,4.16,6.95,0.94,4.07,2.18,,,,,,,,,,,,,,,,,,,,
April,,,,,,,5.19,4.23,3.52,2.42,0.74,5.1,4.79,0.83,,,,,,,5.19,2.19,6.77,4.39,1.55,4.48,2.87,1.4,2.65,3.35,2.5,4.5,1.9,0.5,7.51,3.2,0.77,6.42,4.82,3.95,1.79,2.92,3.89,1.45,1.77,3.21,2.11,3.8,3.95,5.11,2.63,2.98,1.75,4.65,1.47,1.99,2.6,0.95,2.42,1.62,5.34,1.24,3.56,5.05,2.99,3.39,2.06,2.71,2.89,1.12,2.75,3.04,3.74,2.12,3.02,4.21,2.19,3.91,0.02,2.71,4.34,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.78,7.57,2.63,9.43,4.09,0.45,2.55,1.13,,,,,,,0.62,2.68,4.17,2.99,2.35,3.25,7.32,1.2,4.9,4.8,5.6,5.75,5.95,1.21,7.08,0.54,0.89,1.12,7.04,2.6,3.22,1.26,2.32,3.66,1.93,1.25,4.38,5.8,2.69,1.14,1.95,1.39,1.58,6.21,1.76,3.28,5.25,4.29,2.82,1.8,3.69,2.52,0.92,1.63,4.37,5.87,3.15,1.83,1.38,3.05,2.74,7.38,4.88,3.48,2.43,1.03,1.48,2.55,2.38,1.79,0.75,,,,,,,,,,,,,,,,,,,,
June,,,,,,,5.79,1.11,2,1.01,0.68,4.04,3.24,1.74,,,,,,,3.04,5.89,3.29,3.29,0.87,0.87,1,0.25,5.5,0.25,3,6.95,5.64,2.1,2.63,1.74,2.81,4.77,3.3,2.76,3.57,3.39,3.71,2.41,3.8,2.26,1.35,4.39,2,4.07,4.83,2.7,5.5,1.58,1.84,1.67,2.64,1.58,2.04,1.46,1.89,0.79,1.02,0.9,3.78,0.2,2.99,3.38,5.95,1.55,1.44,4.78,1.19,1.7,1.88,5.51,3.06,1.04,3.3,2.56,0.93,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.86,6.59,2.68,1.35,0.59,6.85,1.88,3.68,,,,,,,5.36,2.98,6.62,4.01,3.67,1.12,3.7,1.52,8.6,2.25,3.25,2.35,4.5,2.75,6.29,5.68,6.89,1.7,1.47,4.06,3.43,2.44,4.39,4.88,2.66,2.35,0.88,2.16,2.69,2.23,2.43,3.16,5.34,0.5,3.58,6.19,1.35,2.12,4.48,0.77,6.7,4.03,3.09,2.09,3.94,2.76,2.55,3.66,1.11,2.31,4.88,3.76,5.23,1.91,0.59,1.08,7.37,1.69,6.94,3.86,4.14,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.4,2.36,6.57,1.03,2.52,2.56,3.83,4.67,,,,,,,2.56,6.03,2.6,2.95,0.6,2.37,1.3,3.66,3.24,6.15,4,6.2,5.05,4.95,5.34,6.94,1.56,8.73,4.81,2.07,5.68,3.13,4.91,4.63,3.65,11.29,2.83,2.69,2.55,0.95,6.39,1.83,7.52,1.91,3.12,1.74,2.99,9.62,1.37,3.45,2.37,3.62,6.78,4.91,2.71,2.15,2.83,6.79,4.13,3.69,7.02,5.16,3.8,1.07,5.47,1.16,0.81,0.97,1.83,1.9,0.15,,,,,,,,,,,,,,,,,,,,
September,,,,,,,6.01,3.72,10.54,6.47,2.89,6.74,2.57,2.61,,,,,,,3.08,2.46,5.55,7.98,2.38,5.3,3.77,3.12,0.6,1.1,3.85,3.15,4.7,1.28,1.62,1.43,11.54,4.42,2.57,1.95,1.42,7.03,3.84,5.51,5.25,1.34,0.68,1.07,6.72,1.8,0.9,2.17,1.03,3.76,1.78,1.83,2.38,1.37,6.82,3.1,1.17,1.74,3.67,2.32,7.03,2.59,1.34,2.02,1.05,1,7.02,8.16,1.83,2.91,5.01,5,3.17,3,2.31,2.87,2.25,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.97,3.45,1.65,2.74,9.32,5.82,4.48,3.27,,,,,,,10.63,6.1,6.71,3.25,1,6.55,7.9,1.8,3.1,13.25,1.25,8.75,7.35,1.53,10.58,2.69,6.14,5.67,8.84,2.96,3.6,4,3.46,5.56,1.39,0.94,7.77,10.09,3.93,6.77,3.39,6.29,3.12,7.38,3.12,8.48,9.29,3.23,4.15,2.07,8.79,2.9,1.85,3.71,3.18,3.74,3.84,4.95,7.21,4.14,5.59,0.88,3.32,3.88,2.69,3,1.55,5.06,6.03,6.34,9.84,,,,,,,,,,,,,,,,,,,,
