"LONG ASHTON ESTATE OFFICE",,,,,,,,,,,,
Grid ref,ST548707,Long,-2.651605,Lat,51.433487,,,,,,,
Station no,RR1457,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.68,1.94,1.82,4.48,3.85,0.75,4.95,2.19,1.80,1.58,,
February,6.32,1.36,0.90,1.87,4.32,0.78,2.58,1.93,1.90,0.66,,
March,1.12,2.70,1.82,4.48,2.26,4.35,2.43,1.04,3.08,3.52,,
April,1.34,2.98,1.49,2.78,2.23,2.89,1.00,3.32,3.23,3.54,,
May,2.18,0.94,1.98,2.97,3.05,0.10,2.89,2.52,1.98,1.70,,
June,2.20,1.69,3.23,3.88,1.61,3.93,2.74,2.97,0.47,5.15,,
July,0.82,3.22,1.60,1.80,3.77,0.63,0.79,2.86,1.78,3.66,,
August,2.58,2.42,4.20,4.36,2.86,3.47,2.54,2.22,4.90,2.69,,
September,0.65,1.89,1.87,3.16,1.60,1.52,0.74,0.60,2.27,2.43,,
October,4.13,1.66,2.41,8.43,1.41,1.94,5.52,4.93,1.62,6.48,,
November,3.42,0.43,2.64,2.12,2.05,2.88,2.77,2.54,1.32,1.41,,
December,5.60,5.34,2.97,3.39,2.44,1.50,1.42,6.50,2.69,5.45,,
Total,35.04,26.57,26.93,43.72,31.45,24.74,30.37,33.62,27.04,38.27,,
Calc annual,35.04,26.57,26.93,43.72,31.45,24.74,30.37,33.62,27.04,38.27,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
