LONG-ASHTON-ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST548707,Long,-2.651605,Lat,51.433487,Elevation,134,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,4.29,4.37,6.43,3.29,4.85,2.17,4.09,0.8,0.76,2.72,3.96,4.55,2.71,4.82,2.39,1.23,0.83,3.7,3.65,1.47,2.42,3.12,4.41,0.41,1.91,0.95,5.1,4.68,1.94,1.82,4.48,3.85,0.75,4.95,2.19,1.8,1.58,3.59,1.36,4.43,6.89,1.49,3.81,2.96,1.85,,6.22,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.66,2.5,2.17,4.76,2.39,1.61,4.6,4.42,3.72,2.46,3.99,1.98,3.46,0.52,0.67,1.36,1.23,0.82,0.02,2.21,4.79,3.73,0.15,0.65,3.5,1.65,3.72,6.32,1.36,0.9,1.87,4.32,0.78,2.58,1.93,1.9,0.66,5.38,2.51,3.11,0.95,3.82,4.36,6.08,1.62,,3.73,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.7,1.93,1.6,4.6,3.04,2.48,1.16,1.77,2.22,2.07,0.9,2.95,1.5,3.18,2.6,3.52,4.77,1.35,2.35,0.74,0.47,2.41,2.82,3.78,3.95,0.9,1.3,1.12,2.7,1.82,4.48,2.26,4.35,2.43,1.04,3.08,3.52,0.73,2.71,6.06,4.15,5.02,1.09,4.1,3.92,,7.57,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.66,0.71,1.92,2.3,3.31,3.5,3.16,2.62,2.21,0.55,3.45,0.63,1.49,2.41,2.41,2.41,2.05,4.18,1.34,1.05,1.15,0.06,2.48,2.64,0.77,3.62,1.9,3.2,1.34,2.98,1.49,2.78,2.23,2.89,1,3.32,3.23,3.54,2.88,2.05,0.28,3.53,1.84,1.31,1.52,2.52,,2.61,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.55,2.81,0.85,2.46,0.31,2.4,5.94,3.08,1.21,1.44,1.49,0.99,1.85,3.67,4.31,2.42,1.42,2.98,1.81,4.03,1.31,1.66,2.16,1.32,0.34,1.56,2.94,2.09,2.18,0.94,1.98,2.97,3.05,0.1,2.89,2.52,1.98,1.7,1.83,0.93,3.39,3.05,1.84,3.88,4.04,2.36,,0.45,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.56,1.53,0.98,3.43,1.07,1.5,1.84,5.69,2.56,3.27,3.92,3.29,2.96,1.57,1.08,0.93,3.29,0.55,3.82,2.36,2.19,1.08,2.46,0.77,1.76,2.42,1.39,1.07,2.2,1.69,3.23,3.88,1.61,3.93,2.74,2.97,0.47,5.15,4.68,3.07,5.4,1.25,2.59,0.91,2.78,3.1,,1.76,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.52,4.84,1.87,6.95,1.87,3.72,3,4.2,4.5,1.6,6.29,3.73,4.62,0.79,3.54,1.16,6.55,2.93,3.71,2.8,4.25,3.84,5.83,3.38,1.08,2.4,0.65,0.42,0.82,3.22,1.6,1.8,3.77,0.63,0.79,2.86,1.78,3.66,2.16,0,5.15,0.48,5.22,5.4,1.4,2.57,,2.88,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.14,4.36,4.05,1.7,4.48,5.87,3.97,7.43,0.44,6.37,4.72,2.62,3.19,2.5,2.65,3.25,2.46,2.94,3.81,7.52,3.91,2.55,3.07,3.35,2.22,8.17,3.2,2.56,2.58,2.42,4.2,4.36,2.86,3.47,2.54,2.22,4.9,2.69,6.03,1.52,8.57,1.3,2.94,2.64,6.13,8.48,,3.17,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.93,2.88,7.24,4.67,6.13,3,2.96,4.12,4.22,1.91,2.93,4.36,1.89,5.49,2.67,3.9,1.36,1.7,1.48,2.39,3.74,1.88,3.07,1.23,6.94,3.5,0.96,3.85,0.65,1.89,1.87,3.16,1.6,1.52,0.74,0.6,2.27,2.43,0.23,1.46,0.73,3.65,1.94,1.73,2.01,2.89,,1.81,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.34,3.97,3.37,7.35,3.57,3.11,6.47,1.73,6.56,2.1,7.25,3.39,1.11,4.77,4.74,2.8,1.09,2.95,1.81,8.5,2.95,5.84,4.36,4.43,5.06,1.33,6.42,3.63,4.13,1.66,2.41,8.43,1.41,1.94,5.52,4.93,1.62,6.48,4.57,3.01,4.6,2.92,2.11,4.45,7.93,6.88,,3.21,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
