ESKDALEMUIR OBSERVATORY - experimental gauge 2,,,,,,,,,,,
Grid ref,NT234026,Long,-3.208374,Lat,55.311498,Elevation,778,ft,,,
Station no,5041,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,4.25,,,,,,,,
June,,,2.87,,,,,,,,
July,,,6.61,,,,,,,,
August,,,3.9,,,,,,,,
September,,,3.03,,,,,,,,
October,,,4.38,,,,,,,,
November,,,2.47,,,,,,,,
December,,,5.76,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
TYRain_1920-1930_29_pt1-page-091.csv,,,,,,,,,,,
