"WESTBURY (WELLHEAD)",,,,,,,,,,,,
Grid ref,ST877501,Long,-2.177616,Lat,51.249935,,,,,,,
Station no,1476/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,2.77,0.79,2.01,3.42,4.34,2.17,2.82,4.53,,,
February,4.74,0.72,1.60,3.08,2.05,0.24,3.86,3.49,0.32,,,
March,3.29,2.85,0.71,3.33,1.42,0.92,1.99,1.23,3.70,,,
April,3.12,1.75,2.37,0.12,0.78,1.35,0.41,0.95,3.01,,,
May,2.95,5.19,2.27,2.18,3.94,0.47,1.96,2.95,3.44,,,
June,1.12,1.36,1.50,3.90,3.26,1.96,2.47,4.25,1.14,,,
July,1.54,0.86,3.73,2.81,0.17,2.44,4.05,2.74,2.21,,,
August,5.01,4.06,2.00,4.64,0.42,3.59,3.75,3.59,1.44,,,
September,2.72,3.94,3.70,3.23,1.40,3.61,3.23,4.60,0.13,,,
October,0.79,3.97,3.00,2.73,2.17,1.90,2.63,2.70,2.70,,,
November,8.48,4.05,1.57,6.49,3.60,0.71,2.54,2.32,4.22,,,
December,2.27,2.51,0.66,2.70,4.44,3.78,2.43,3.59,7.31,,,
Total,39.02,34.03,23.90,37.22,27.07,25.31,31.49,35.23,34.15,,,
Calc annual,39.02,34.03,23.90,37.22,27.07,25.31,31.49,35.23,34.15,0.00,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
