WESTBURY-WELLHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST877501,Long,-2.177616,Lat,51.249935,Elevation,321,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1476/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.85,2.91,2.63,2.39,0.72,3.8,5.25,2.95,5.53,2.45,3.01,3.78,5.62,1.77,1.91,2.79,2.94,5.04,1.29,0.36,2.99,2.77,0.79,2.01,3.42,4.34,2.17,2.82,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.98,0.04,3.53,0.09,2.65,2.37,5.26,0.87,1.44,2.54,2.52,0.29,1.17,0.64,1.86,2.75,1.81,1.14,1.5,5.62,4.74,0.72,1.6,3.08,2.05,0.24,3.86,3.49,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.83,1.89,3.14,2.47,0.93,2.73,3.85,0.06,1.2,1.93,3.48,2.01,0.82,0.38,0.97,0.85,6.03,0.45,1.14,1.15,3.29,2.85,0.71,3.33,1.42,0.92,1.99,1.23,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.16,3.2,1.16,2.21,4.59,1.95,2.03,0.1,3.42,2.05,1.24,1.64,0.61,1.17,0.65,2.52,2.17,1.07,1.25,2.87,3.12,1.75,2.37,0.12,0.78,1.35,0.41,0.95,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.38,4.8,2.64,0.98,1.12,0.89,2.14,1.39,0.78,1.18,1.58,5.55,2.53,0.36,2.44,4.31,2.76,3.2,2.86,1.71,2.95,5.19,2.27,2.18,3.94,0.47,1.96,2.95,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.71,1.48,0.99,1.2,3.19,3.26,0.96,0.95,2.14,0.97,2.29,0.43,1.44,2.18,3.43,2.62,1.82,2.16,0.03,2.36,1.12,1.36,1.5,3.9,3.26,1.96,2.47,4.25,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.43,3.79,2.4,2.54,1.07,5.37,1.92,3.44,5,2.33,1.67,1.86,2.33,2.95,1.42,1.12,1.61,0.91,1.39,4.61,1.54,0.86,3.73,2.81,0.17,2.44,4.05,2.74,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.81,1.43,1.23,2.3,1.62,0.51,0.9,2.65,2.5,0.23,4.35,4.5,3.13,2.22,2.07,4.07,0.63,4.64,1.49,3.35,5.01,4.06,2,4.64,0.42,3.59,3.75,3.59,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.62,3.34,1.93,2.89,4.96,3.55,3.35,2.04,0.65,1.62,0.54,1.44,2.74,2.51,2.49,3.68,1.46,2.59,1.6,4.04,2.72,3.94,3.7,3.23,1.4,3.61,3.23,4.6,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.72,5.54,2.24,1.92,4.28,1.78,4.45,4.38,3.02,3.95,1.29,3.91,3.68,4.79,4.31,1.17,0.56,3.53,6.99,1.39,0.79,3.97,3,2.73,2.17,1.9,2.63,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
