INSCH THORNHILL,,,,,,,,,,,,
Grid ref,NJ629280,Long,-2.618002,Lat,57.340997,,,,,,,
Station no,RR8568,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.51,,
February,,,,,,,,,,1.13,,
March,,,,,,,,,,6.20,,
April,,,,,,,,,,3.25,,
May,,,,,,,,,,2.82,,
June,,,,,,,,,,1.80,,
July,,,,,,,,,,3.33,,
August,,,,,,,,,,2.98,,
September,,,,,,,,,,2.85,,
October,,,,,,,,,,3.00,,
November,,,,,,,,,,2.62,,
December,,,,,,,,,,2.72,,
Total,,,,,,,,,,34.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
