INSCH THORNHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ629280,Long,-2.618002,Lat,57.340997,Elevation,430,ft,,,,,,,,,,,,
Station no,RR8568,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.51,1.72,1.11,4.39,3.15,1.53,,,,,
February,,,,,,,,,,1.13,2.18,1.27,2.1,0.58,2.28,,,,,
March,,,,,,,,,,6.2,1.37,2.1,2.72,3,3.43,,,,,
April,,,,,,,,,,3.25,3.26,1.38,1.06,1.89,0.39,,,,,
May,,,,,,,,,,2.82,1.98,2.42,3,4.67,2.97,,,,,
June,,,,,,,,,,1.8,1.29,3.39,1.82,2.18,1.34,,,,,
July,,,,,,,,,,3.33,2.74,1.62,1.6,1.08,3.67,,,,,
August,,,,,,,,,,2.98,4,1.02,5.18,1.02,1.42,,,,,
September,,,,,,,,,,2.85,1.23,0.76,2.73,3.01,1.88,,,,,
October,,,,,,,,,,3,2.88,2.28,4.31,1.03,2.83,,,,,
November,,,,,,,,,,2.62,6.47,5.61,3.01,0.92,4.59,,,,,
December,,,,,,,,,,2.72,4.44,5.52,1.28,2.44,5.28,,,,,
Total,,,,,,,,,,34.21,33.56,28.48,33.2,24.97,31.61,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8568,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
