TEIGNMOUTH-LANDSCORE-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX936733,Long,-3.50319,Lat,50.54975,Elevation,143,ft,,,,,,,,,,,,,
Station no,1725,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,5.02,4.88,4.31,4.36,2.38,5.61,2.69,3.7,2.47,,,,,,,
February,,,,,,4.81,2.56,3.35,2.38,3.11,1.69,1.91,0.02,4.1,,,,,,,
March,,,,,,0.31,0.73,3.49,3.74,0.17,2.64,2.35,2.39,3.94,,,,,,,
April,,,,,,2.66,2.77,1.92,2.02,1.1,3.09,3.58,2.33,1.65,,,,,,,
May,,,,,,3.85,0.67,0.52,1.32,2.6,1.52,2.72,3.96,1.66,,,,,,,
June,,,,,,0.02,3.41,2.08,1.66,2.07,0.22,3.18,3.35,2.37,,,,,,,
July,,,,,,2.25,0.98,2.97,1.55,1.54,2.13,3.5,1.68,2.11,,,,,,,
August,,,,,,1.68,1.07,2.91,2.21,1.89,3.72,3.63,1.69,1.35,,,,,,,
September,,,,,4.65,3.76,1.34,4.35,2.26,0.28,4.33,1.37,5.12,2.83,,,,,,,
October,,,,,6.11,3.58,3.16,2.77,5.35,5.31,3.21,0.42,6.33,2.44,,,,,,,
November,,,,,3.05,3.17,8.79,2.82,4.15,11.17,6.15,6.32,2.18,1.03,,,,,,,
December,,,,,5.15,4.73,0.48,4.73,3.82,8.87,4.15,1.56,2.73,2.86,,,,,,,
Total,,,,,,35.84,30.84,36.22,34.82,40.49,38.46,33.23,35.48,28.81,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The Haven Landscore Road,,,,,,,,,,,,,,,,,,,,,
Exact house not found but NGR matches elevation,,,,,,,,,,,,,,,,,,,,,
1932 Total amended as all months seem correctly transcribed,,,,,,,,,,,,,,,,,,,,,
1934 Station terminated owing to death of observer,,,,,,,,,,,,,,,,,,,,,
