HEDON VICARAGE,,,,,,,,,,,,,,,,,,
Grid ref,TA186288,Long,-0.203,Lat,53.742,Elevation,15,ft,,,,,,,,,,
Station no,RR3030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903
January,,1.28,0.89,1.34,2.08,1.12,1.03,1.18,1.17,3.82,0.71,2.09,0.64,1.61,2.80,0.88,1.11,1.55
February,,0.45,1.27,1.62,1.06,0.12,1.75,2.59,2.25,0.69,0.49,2.59,1.28,0.94,3.07,2.05,1.38,0.73
March,,1.28,2.07,2.06,1.16,1.14,1.21,0.38,0.65,1.92,2.12,3.02,1.53,1.23,0.56,1.70,1.47,2.23
April,,1.42,1.80,2.64,0.53,1.35,1.59,0.26,0.88,1.01,0.86,1.52,2.49,1.38,1.09,1.70,1.20,2.14
May,,1.40,0.63,2.31,2.68,3.15,2.73,1.29,2.01,0.59,0.52,1.34,2.00,3.22,1.90,0.67,2.16,
June,,0.05,1.94,0.46,1.94,0.92,3.46,1.17,3.92,2.49,1.89,1.27,1.75,1.41,2.07,2.08,2.05,
July,,0.68,5.82,1.78,1.45,1.69,1.37,2.40,3.32,3.84,1.22,0.12,1.04,0.82,1.73,0.95,2.34,
August,,1.29,2.34,3.84,2.75,3.66,2.55,2.43,3.10,2.58,1.31,4.09,3.49,0.32,3.62,2.78,1.90,
September,,2.24,0.93,1.44,0.90,1.24,1.31,1.55,0.94,0.77,3.42,2.83,0.17,2.49,1.65,0.62,0.96,
October,,3.73,1.08,3.76,1.03,3.20,5.60,1.46,5.19,3.41,5.06,1.30,2.82,2.31,2.80,1.89,3.31,
November,1.69,1.72,2.51,0.71,3.40,3.00,1.02,3.21,1.75,2.48,1.34,2.39,1.93,1.02,2.41,3.53,1.11,
December,4.71,1.52,1.87,1.34,1.00,2.92,0.90,1.80,1.96,2.07,3.11,1.58,1.87,3.03,3.02,4.05,2.10,
Total,,17.06,23.15,23.30,19.98,23.51,24.52,19.72,27.14,25.67,22.05,24.14,21.01,19.78,26.72,22.90,21.09,
,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/010,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/120,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# The reading for December 1890 is a part-estimate and has been retained.,,,,,,,,,,,,,,,,,,
