HUNSTANWORTH (BUCKSHOTT),,,,,,,,,,
Grid ref,NY973498,Long,-2.043569,Lat,54.843006,Elevation,960,ft,,
Station no,3553/8/6/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.85,3.5,3.31,4.15,2.93,3.17,3.06,5.36
February,,,1.83,2.34,3.12,4.26,3.23,4.55,0.32,3.19
March,,,0.16,1.71,2.31,1.75,1.54,2.82,1.04,3.1
April,,,3.44,0.43,0.46,1.24,0.27,1.83,2.44,1.49
May,,,2.7,5.18,2.31,0.79,1.46,3.9,0.63,1.99
June,,,4.11,1.91,2.47,3.26,1.01,3.88,1.66,0.53
July,,1.84,1.55,1.7,1.33,3.38,3.48,3.61,1.03,5.02
August,,2.64,4.08,7.62,0.98,9.9,5.24,3.42,0.57,3.82
September,,4.54,2.99,3.64,1.47,3.82,3.43,2.81,0.97,2.73
October,,4.61,2.06,5.47,2.29,2.2,2.36,2.2,2.28,9.99
November,,3.66,2.39,5.52,1.62,1.01,2.55,0.43,5.5,3.43
December,,3.45,1.44,4.1,4.81,4.27,2.63,4.78,5.58,3.02
Total,,,27.6,43.12,26.48,40.03,30.13,37.4,25.08,43.67
,,,,,,,,,,
1833,BUCKSHOTT ,NY9739749688,01/01/1952,31/12/1967,,,,,,
