"DARLINGTON HUMMERSKNOTT",,,,,,,,,,,,
Grid ref,NZ269144,Long,-1.585908,Lat,54.524179,,,,,,,
Station no,3505,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.03,1.44,0.54,2.33,2.00,0.50,2.78,0.57,1.05,1.03,,
February,3.42,0.95,1.27,1.14,1.75,0.73,1.04,1.19,1.68,0.98,,
March,1.55,1.94,0.70,2.02,1.99,1.63,1.04,0.67,3.35,4.12,,
April,1.15,1.46,1.36,0.96,1.26,3.05,0.70,1.38,2.56,2.00,,
May,1.72,1.30,2.13,3.91,3.31,0.82,3.01,3.73,2.64,1.31,,
June,2.49,1.44,1.93,2.01,2.08,1.39,0.77,3.88,0.45,2.06,,
July,1.15,3.78,2.91,4.47,2.16,0.25,1.71,2.73,2.91,2.39,,
August,5.57,1.20,2.10,1.74,3.11,3.84,2.39,1.31,1.19,3.79,,
September,0.70,1.23,0.63,2.80,1.54,2.17,0.31,0.37,2.05,1.63,,
October,4.27,1.66,2.70,7.81,0.79,1.49,3.97,4.62,1.51,2.13,,
November,2.50,5.32,1.42,1.33,1.68,4.22,2.54,2.29,0.92,0.66,,
December,1.63,3.48,1.55,1.13,1.88,0.25,2.54,2.95,0.77,3.76,,
Total,29.18,25.20,19.24,31.65,23.55,20.34,22.80,25.69,21.08,25.86,,
Calc annual,29.18,25.20,19.24,31.65,23.55,20.34,22.80,25.69,21.08,25.86,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
