"FAIRMILEHEAD (SWANSTON VIEW)",,,,,,,,,,,,
Grid ref,NT244682,Long,-3.210645,Lat,55.900956,,,,,,,
Station no,5133/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.38,3.25,,
February,,,,,,,,,0.46,2.72,,
March,,,,,,,,,0.48,1.34,,
April,,,,,,,,,1.87,1.11,,
May,,,,,,,,,0.56,1.43,,
June,,,,,,,,3.95,1.78,1.28,,
July,,,,,,,,7.09,2.57,2.71,,
August,,,,,,,,2.82,0.30,4.44,,
September,,,,,,,,2.81,0.49,1.45,,
October,,,,,,,,0.97,2.08,3.58,,
November,,,,,,,,1.03,5.05,3.01,,
December,,,,,,,,4.59,3.15,2.94,,
Total,,,,,,,,,20.17,29.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.26,20.17,29.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
