FAIRMILEHEAD (FROGSTON RD) - Observer John Aitchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT252681,Long,-3.197826,Lat,55.900183,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5133/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.76,1.38,2.3,3.12,2.74,2.37,3.24,2.38,2.78,5.85,2.16,1.52,3.53,2.91,0.43,3.08,2.07,1.59,3.68,1.43,,
February,,,,,,,,,2.43,1.31,3.39,1.51,1.76,0.97,3.1,1.88,1.58,2.53,2.11,3.42,2.48,0.45,0.75,1.72,1.52,1.83,2.88,1.86,,
March,,,,,,,,0.73,3.42,3.08,3.5,1.42,1.79,0.38,1.26,1.99,4.35,1.25,1.16,2.61,3.18,1.19,0.41,1.45,2.14,1.2,1.74,2.1,,
April,,,,,,,,0.19,1.75,2.81,1.92,1.75,1.07,2,1.6,0.57,3.54,1.83,1.68,2.66,2.88,1.41,2.28,1.14,0.51,0.67,0.67,1.38,,
May,,,,,,,,4.15,1.17,1.85,3.3,1.7,3.66,2.83,4.58,2.08,3.05,2.39,2.54,2.21,3.4,1.82,2.27,4.67,2.18,0.88,1.77,2.2,,
June,,,,,,,,3.69,1.62,0.75,1.01,1.23,1.99,2.51,1.83,2.15,3.04,4.82,1.31,1.6,1.69,2.79,1.71,2.18,0.83,2.52,1.42,3.56,,
July,,,,,,,,2.69,3,8.89,3.42,3.1,2.29,2.66,2.4,3.51,2.71,2.54,2.58,3.18,4.03,2.49,4.04,1.66,1.78,5.61,5.11,6.34,,
August,,,,,,,,1.59,1.4,1.09,3.36,2.9,3.88,2.94,3.66,4.17,0.23,10.5,3.03,3.04,5.57,5.29,2.24,5.66,1.12,7.3,3.32,2.49,,
September,,,,,,,,2.97,1.42,2.29,1,3.18,1.51,5.44,3.27,4.43,1.51,2.62,1.86,5.27,1.07,1.94,3,3.32,1.34,4.04,1.66,2.49,,
October,,,,,,,,5.27,2.34,2.68,3.66,3.14,3.54,2.76,4.05,0.95,1.12,1.45,4.93,2.47,0.6,1.59,1.57,6.12,1.58,1.95,2.25,1.11,,
November,,,,,,,,6.02,3.84,4.31,2.32,0.83,1.04,6.35,0.49,4.08,3.17,2.55,3.56,4.04,4.81,2.35,3.34,3.32,0.74,0.75,1.53,1.03,,
December,,,,,,,,1.8,1.9,2.02,1.36,1.92,1.22,2.68,2.29,2.57,2.42,2.85,4.63,2.11,2.61,3.27,3.62,2.88,4.76,2.97,2.66,4.19,,
Total,,,,,,,,,29.05,32.46,30.54,25.8,26.49,33.89,31.77,30.76,29.5,41.18,31.55,34.13,35.85,27.5,25.66,37.2,20.57,31.31,28.69,30.18,,
