"CONINGTON CASTLE GARDENS",,,,,,,,,,,,
Grid ref,TL181859,Long,-0.263299,Lat,52.458289,,,,,,,
Station no,1156/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,1.52,1.14,0.75,1.97,3.87,1.28,2.52,3.30,2.75,,
February,2.95,0.40,1.76,2.05,2.48,0.69,2.33,3.10,0.20,2.01,,
March,3.10,2.77,0.99,2.52,1.81,0.67,1.64,1.38,1.82,1.85,,
April,2.86,1.53,2.21,0.28,0.65,1.11,0.20,0.72,1.40,0.29,,
May,3.64,2.25,1.55,3.12,3.98,0.96,1.55,2.41,0.59,1.30,,
June,1.49,1.20,2.67,2.59,2.78,2.56,2.29,5.04,0.67,3.15,,
July,1.14,0.57,2.05,1.96,0.82,2.97,2.85,2.43,3.62,2.46,,
August,4.83,2.30,2.59,4.49,1.00,3.33,2.53,2.95,1.72,2.01,,
September,1.96,1.89,1.07,1.79,1.19,1.61,4.26,2.58,0.02,3.82,,
October,0.73,2.46,2.71,2.48,1.76,1.35,1.45,1.88,1.35,3.96,,
November,3.74,2.86,1.49,4.55,0.80,0.81,1.55,1.44,1.48,4.12,,
December,1.63,1.64,0.55,2.68,1.30,2.11,2.03,2.20,3.67,3.04,,
Total,30.88,21.39,20.78,29.26,20.54,22.04,23.96,28.65,19.84,30.76,,
Calc annual,30.88,21.39,20.78,29.26,20.54,22.04,23.96,28.65,19.84,30.76,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
