WOODHOUSE (COISLEY HILL WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK414843,Long,-1.379485,Lat,53.35397,Elevation,243,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3111/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.53,0.14,4.07,3.11,4.02,3.52,1.93,4.31,2.52,5.42,1.03,0.6,2.54,2.79,0.76,1.96,2.76,5.15,1.06,2.76,2.73,4.8
February,,,,,,,,,1.18,1.82,3.4,2.25,1.48,1.31,1.99,3.3,0.51,1.87,1.14,5.05,2.92,0.48,1.64,2.61,2.32,1.77,2.44,3.55,0.13,2.35
March,,,,,,,,,2.16,1.99,5.41,1.95,0.99,0.37,0.55,0.9,2.69,0.97,1.15,0.96,3.17,2.07,1.27,2.38,3.17,0.63,1.57,1.44,1.42,1.59
April,,,,,,,,,1.86,2.4,1.61,1.5,1.52,2.2,1.62,1.22,2.68,0.92,2.42,2.68,0.58,1.55,2.21,0.3,0.65,2.49,0.12,0.61,2.69,1.09
May,,,,,,,,,1.44,1.05,2.19,3.78,2.31,1.92,2.96,2.13,2.02,1.37,2.01,1.55,3.5,1.69,1.51,4.68,3.62,0.36,0.9,2.15,0.87,1.61
June,,,,,,,,,2.39,0.72,0.23,1.13,1.52,1.99,2.39,2.7,2.7,2.34,0.94,1.39,0.5,1.39,1.21,2.2,2.97,4.09,1.18,5,1,1.16
July,,,,,,,,,5.07,4.37,3.82,1.81,1.16,2.56,1.88,3.1,1.55,1.5,4.34,1.67,2.02,2.41,2.82,1.71,1.06,4.5,3.12,5.42,0.88,2.52
August,,,,,,,,,2.5,0.24,2.25,2.01,2.37,2.87,2.95,4.44,0.69,4.77,2.07,3.48,5.21,1.16,2.17,5.86,0.53,5.89,3.43,2.71,0.72,3.39
September,,,,,,,,2.04,2.13,1.26,0.44,1.87,2.95,3.88,1.01,3.52,1.21,1.51,1.12,3.12,1.51,2.45,1.45,1.9,1.2,3.03,4.11,2.63,0.01,4.36
October,,,,,,,,3.51,3.01,4.45,3.58,2.17,1.68,3.05,5.15,1.29,0.7,1.67,3.44,1.06,1.16,4.31,1.66,3.35,1.82,1.35,1.18,2.69,2.24,6.05
November,,,,,,,,3.36,4.33,5.55,3.55,1.65,2.43,4.38,0.5,5.37,2.35,1.16,3.8,4.63,6.51,1.59,1.39,6.59,2.58,0.6,2.49,0.7,3.34,4.29
December,,,,,,,,3.12,2.15,1.95,1.2,1.9,0.78,2.14,1.37,2.82,2.49,2.76,3.21,1.2,2.44,1.86,1.09,2.93,2.92,3.09,2.59,3.63,3.45,2.96
Total,,,,,,,,,32.75,25.94,31.75,25.13,23.21,30.19,24.3,35.1,22.11,26.26,26.67,27.39,32.06,23.75,19.18,36.47,25.6,32.95,24.19,33.29,19.48,36.17
