"WIDNES (CATHERINE STREET)",,,,,,,,,,,,
Grid ref,SJ513849,Long,-2.733197,Lat,53.358722,,,,,,,
Station no,2811/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,3.05,1.19,2.56,2.22,3.88,1.74,2.60,2.66,4.48,,
February,2.12,0.61,1.17,2.74,1.88,0.50,1.76,4.97,0.32,1.77,,
March,4.41,1.86,1.09,1.91,1.82,1.30,2.43,1.35,1.26,1.40,,
April,1.50,1.93,2.30,0.67,1.67,3.25,0.53,0.83,2.98,1.49,,
May,2.89,2.23,2.13,2.37,2.22,0.91,2.12,3.10,2.34,2.19,,
June,0.82,,1.65,2.38,3.25,1.87,1.27,4.13,2.67,2.33,,
July,2.67,,3.52,3.94,0.61,5.00,3.67,3.94,2.94,3.01,,
August,4.25,,3.04,3.40,3.13,8.82,3.58,2.06,0.65,3.52,,
September,2.07,,3.09,3.16,2.33,2.43,5.80,3.51,0.11,3.26,,
October,0.63,,1.30,5.64,1.59,2.18,3.04,2.77,2.79,3.54,,
November,7.16,,2.52,4.57,1.35,1.39,1.25,1.60,4.37,4.80,,
December,4.62,,1.00,4.19,3.99,2.45,2.94,4.03,4.72,3.21,,
Total,35.54,,24.00,37.53,26.06,33.98,30.13,34.89,27.81,35.00,,
Calc annual,35.54,9.68,24.00,37.53,26.06,33.98,30.13,34.89,27.81,35.00,,
Difference,0.00,NaN,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
