WIDNES GAS WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ519852,Long,-2.7242283,Lat,53.361473,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2811/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.49,4.98,2.79,2.45,3.75,3.57,3.79,2.13,3.01,2.17,6.63,2.3,0.9,2.4,3.05,1.19,2.56,2.22,3.88,1.74,2.6,2.66,4.48
February,,,,,,,,0.85,2.86,2.52,3.23,1.57,1.81,1.55,2.52,5.09,0.95,1.56,1.08,4.58,2.12,0.61,1.17,2.74,1.88,0.5,1.76,4.97,0.32,1.77
March,,,,,,,,1.04,1.85,2.38,2.61,2.39,0.75,0.77,1.03,0.85,4.95,0.92,2.04,1.1,,1.86,1.09,1.91,1.82,1.3,2.43,1.35,1.26,1.4
April,,,,,,,,0.28,1.83,2.19,1.3,1.29,1.26,1.38,1.68,1.32,2.6,1.16,2.7,2.33,1.5,1.93,2.3,0.67,1.67,3.25,0.53,0.83,2.98,1.49
May,,,,,,,,3.57,1.26,2,1.79,4.11,2.47,1.69,3.32,1.52,2.21,0.89,3.39,0.65,2.89,2.23,2.13,2.37,2.22,0.91,2.12,3.1,2.34,2.19
June,,,,,,,,2.79,3.41,1.08,0.56,0.36,2.42,1.78,2.55,2.89,1.89,3.48,1.04,2.29,0.82,,1.65,2.38,3.25,1.87,1.27,4.13,2.67,2.33
July,,,,,,,,3.22,5.79,2.79,2.74,3.08,3.23,2.58,1.73,2.93,2.18,2.35,2.31,2.26,2.67,,3.52,3.94,0.61,5,3.67,3.94,2.94,3.01
August,,,,,,,,3.64,1.5,0.98,5.07,2.88,3.71,3.11,2.72,3.63,0.19,3.62,1.73,4.41,4.25,,3.04,3.4,3.13,8.82,3.58,2.06,0.65,3.52
September,,,,,,,,1.55,0.81,3.66,0.95,2.23,3.54,4.47,1.52,4,2.3,1.54,1.39,4.36,2.07,,3.09,3.16,2.33,2.43,5.8,3.51,0.11,3.26
October,,,,,,,,5.06,2.09,3.61,3.28,3.31,3.34,4.35,3.83,1.35,0.69,2.07,3.01,2.48,0.63,,1.3,5.64,1.59,2.18,3.04,2.77,2.79,3.54
November,,,,,,,1.96,3.76,5.26,5.82,2.26,0.5,2.32,6.05,0.33,4.74,3.22,1.89,5.33,4.02,7.16,,2.52,4.57,1.35,1.39,1.25,1.6,4.37,4.8
December,,,,,,,1.88,3.29,2.37,2.68,1.04,3.76,1.35,2.53,2.46,3.1,3.15,2.76,4.57,3.18,,,1,4.19,3.99,2.45,2.94,4.03,4.72,3.21
Total,,,,,,,,32.54,34.01,32.5,27.28,29.23,29.77,34.05,25.82,34.43,26.5,28.87,30.89,32.56,,,24,37.53,26.06,33.98,30.13,34.89,27.81,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheets for 1890s 1900s and 1910s noted as appearing to be worthless therefore data not included here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omitted estimated amounts for March and December 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
