ECCLESHALL-SUGNALL-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ798312,Long,-2.3015861,Lat,52.877883,Elevation,450,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2353/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.58,1.96,2.7,1.15,3.8,3.29,3.4,6.6,3.22,2.66,3.81,5.04,3.33,2.6,2.62,2.24,5.72,1.85,1.04,2.28,2.91,1.06,,,,,,,
February,,0.22,3.7,0.45,3.29,2.12,5.35,0.85,1.6,2.98,2.94,1.41,1.34,1.73,2.32,4.96,2.13,1.06,0.76,4.59,2.51,0.59,2.09,,,,,,,
March,,1.93,3,2.08,0.74,2.15,2.79,0.81,1.88,2.38,3.01,2.24,1.03,0.65,1.26,0.91,5.49,1.14,2.36,1.38,4.11,1.76,1.22,,,,,,,
April,,3.18,1.05,2.29,4.08,2.15,2.94,0.15,1.69,3.16,1.28,1.14,0.96,1.88,1.4,1.28,2.33,2.01,2.58,3.06,2.03,2.44,3.26,,,,,,,
May,,5.66,1.34,1.28,0.98,0.86,2.34,2.23,1.2,1.89,3.25,3.84,2.93,1.06,3.92,2.73,2.65,1.56,2.18,1.27,3.57,2.03,2.89,,,,,,,
June,,0.56,3.32,1.08,2.78,3.81,0.74,2.2,1.77,1.14,1.51,0.44,2.57,2.06,2.56,2.87,1.3,4.16,0.81,1.21,2.02,2.27,2.63,,,,,,,
July,,3.93,2.19,1.1,0.58,5.04,3.62,2.73,6.08,2.47,3.35,2.97,2.24,2.8,1.46,2.4,3.43,2.11,1.6,2.7,1.96,1.07,3.33,,,,,,,
August,,1.93,1.08,3.39,1.78,1.37,1.36,2.79,1.88,0.64,4.19,2.36,2.3,3.06,4.44,5.91,0.71,5.01,2.27,5.87,4.87,2.44,3.06,,,,,,,
September,,2.01,1.06,1.65,3.51,3.56,1.78,1.23,0.8,1.93,0.87,1.57,4.44,4.59,1.89,4.58,1.58,3.04,0.72,4.04,2.15,2.06,2.42,,,,,,,
October,,6.16,5.1,3.26,4.79,1.97,2.53,3.54,3.55,3.99,3.8,2.67,2.36,4.6,5.09,0.69,0.65,2.31,4.78,1.37,1,3.96,2,,,,,,,
November,,2.84,1.29,2.31,5.03,3.22,1.43,3.86,4.9,7.03,3.02,0.67,2.7,4.37,0.45,5.47,2.59,1.89,3,3.59,6.01,1.95,1.8,,,,,,,
December,1.88,1.18,0.38,4.47,3.52,2.62,4.46,3.46,2,2.48,1.58,2.78,1.66,1.71,2.79,3.15,2.55,3.75,2.01,2.9,3.17,3.25,1.42,,,,,,,
Total,,33.18,25.47,26.06,32.23,32.67,32.63,27.25,33.95,33.31,31.46,25.9,29.57,31.84,30.18,37.57,27.65,33.76,24.92,33.02,35.68,26.73,27.18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Sugnall Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
