"MARSTON TRUSSELL",,,,,,,,,,,,
Grid ref,SP692859,Long,-0.982815,Lat,52.466664,,,,,,,
Station no,RR4406,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.08,1.04,0.94,,
February,,,,,,,,1.19,0.97,0.75,,
March,,,,,,,,1.02,2.80,2.36,,
April,,,,,,,,2.05,3.03,2.36,,
May,,,,,,,,3.37,1.70,1.99,,
June,,,,,,,,2.27,1.41,2.96,,
July,,,,,,,,2.69,3.29,3.12,,
August,,,,,,,,2.97,3.04,2.40,,
September,,,,,,,,0.74,1.31,2.36,,
October,,,,,,,,5.80,1.27,4.34,,
November,,,,,,,,2.25,1.00,0.55,,
December,,,,,,,,2.97,1.47,1.44,,
Total,,,,,,,,28.40,22.33,25.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.40,22.33,25.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
