STONEHOUSE-GLOUCESTER-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO805068,Long,-2.2839295,Lat,51.759542,Elevation,150,ft,,,,,,,,,,,,
Station no,2157/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.36,2.44,2.76,2.41,5.71,1.89,1.81,3.33,,,,
February,,,,,,,,,1.31,2.55,3.02,0.53,1.33,0.61,2.17,2.04,,,,
March,,,,,,,,,1.69,2.19,2.85,2.66,1.05,0.37,1.22,0.96,,,,
April,,,,,,,,,3.51,2.13,1.04,1.32,0.61,1,1.03,2.39,,,,
May,,,,,,,,,1.05,2.46,1.82,3.66,3.54,1.73,2.41,,,,,
June,,,,,,,,,1.94,0.67,1.27,0.27,2.03,2.93,2.99,,,,,
July,,,,,,,,,6.21,4.6,2.6,1.8,1.31,1.65,1.68,,,,,
August,,,,,,,,,3.17,0.04,3.68,5.25,1.97,2.64,1.89,,,,,
September,,,,,,,,,0.74,0.93,0.68,2.22,1.87,2.95,1.9,,,,,
October,,,,,,,,,2.65,3.57,2.15,2.31,2.06,4.06,3.14,,,,,
November,,,,,,,,,4.87,6.47,2.39,1.43,1.4,5.03,0.45,,,,,
December,,,,,,,,,2.1,1.13,1.77,2.94,1.48,1.93,5.09,,,,,
Total,,,,,,,,,34.6,29.18,26.03,26.8,24.36,26.79,25.78,,,,,
